,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,1,shares,0.0012625,0.0037375000000000004,0.0012625,0.0037375000000000004,0.06249375,0.18500624999999998,0.06125625,0.18624374999999999,0.06125625,0.18624374999999999,0.06249375,0.18500624999999998
0,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,2,shares,0.0022031043743124773,0.0027968956256875233,0.0022031043743124773,0.0027968956256875233,0.10905366652846762,0.13844633347153237,0.10750677090278009,0.1399932290972199,0.10750677090278009,0.1399932290972199,0.10905366652846762,0.13844633347153237
0,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,3,shares,0.002905436092177578,0.002094563907822422,0.002905436092177578,0.002094563907822422,0.1438190865627901,0.10368091343720989,0.14234952265496767,0.1051504773450323,0.14234952265496767,0.1051504773450323,0.1438190865627901,0.10368091343720989
0,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,4,shares,0.0034306286828787664,0.0015693713171212337,0.0034306286828787664,0.0015693713171212337,0.16981611980249892,0.07768388019750107,0.16855924848537768,0.0789407515146223,0.16855924848537768,0.0789407515146223,0.16981611980249892,0.07768388019750107
0,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,5,shares,0.003823746555029236,0.001176253444970764,0.003823746555029236,0.001176253444970764,0.18927545447394717,0.058224545526052815,0.1882554510289764,0.05924454897102358,0.1882554510289764,0.05924454897102358,0.18927545447394717,0.058224545526052815
0,0,5,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,6,shares,0.004118197183037891,0.0008818028169621092,0.004118197183037891,0.0008818028169621092,0.20385076056037557,0.0436492394396244,0.20304708274341346,0.04445291725658651,0.20304708274341346,0.04445291725658651,0.20385076056037557,0.0436492394396244
0,0,6,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,7,shares,0.004338841435771462,0.0006611585642285387,0.004338841435771462,0.0006611585642285387,0.2147726510706873,0.03272734892931266,0.21415055500645877,0.0333494449935412,0.21415055500645877,0.0333494449935412,0.2147726510706873,0.03272734892931266
0,0,7,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,8,shares,0.004504227822778437,0.0004957721772215632,0.004504227822778437,0.0004957721772215632,0.2229592772275326,0.024540722772467372,0.22248303630031102,0.025016963699688935,0.22248303630031102,0.025016963699688935,0.2229592772275326,0.024540722772467372
0,0,8,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,9,shares,0.004628219230626516,0.000371780769373484,0.004628219230626516,0.000371780769373484,0.2290968519160125,0.018403148083987457,0.22873483677163903,0.01876516322836094,0.22873483677163903,0.01876516322836094,0.2290968519160125,0.018403148083987457
0,0,9,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.005414326758440824,0.0,0.004585673241559175,0.0,0.2680091745428208,0.0,0.4324228502595949,0.0,0.06257714974040504,0.0,0.22699082545717916
0,1,0,payoffs,2.0,0.6720013020833334,1.0,1.6720013020833335,2.0,0.6720013020833334,3.0,1.6720013020833335,0.0,0.6720013020833334,1.0,1.6720013020833335
0,1,1,shares,0.0014804041794820005,0.003933922578958823,0.0010619341534567675,0.003523739088102407,0.07328000688435904,0.19472916765846177,0.027059789451867426,0.4053630608077275,0.027059789451867423,0.03551736028853762,0.052565740596109994,0.17442508486106917
0,1,1,payoffs,2.0,0.5729239050172387,1.0,1.5729239050172386,2.0,0.5729239050172387,3.0,1.5729239050172386,0.0,0.5729239050172387,1.0,1.5729239050172386
0,1,2,shares,0.0024364072911445835,0.00297791946729624,0.001828969145184963,0.0027567040963742116,0.1206021609116569,0.1474070136311639,0.04467148470206307,0.38775136555753187,0.04467148470206307,0.017905665038341977,0.09053397268665567,0.1364568527705235
0,1,2,payoffs,2.0,0.48411150479165627,1.0,1.4841115047916562,2.0,0.48411150479165627,3.0,1.4841115047916562,0.0,0.48411150479165627,1.0,1.4841115047916562
0,1,3,shares,0.0030805362575718354,0.0023337905008689883,0.0023809540933605773,0.0022047191481985974,0.15248654474980589,0.11552262979301493,0.05465766368878769,0.37776518657080727,0.05465766368878769,0.00791948605161736,0.11785722762134856,0.1091335978358306
0,1,3,payoffs,2.0,0.40910755611702004,1.0,1.40910755611702,2.0,0.40910755611702004,3.0,1.40910755611702,0.0,0.40910755611702004,1.0,1.40910755611702
0,1,4,shares,0.003527863310193212,0.0018864634482476117,0.0027801701273186524,0.0018055031142405226,0.17462923385456403,0.0933799406882568,0.05952318053268241,0.3728996697269126,0.05952318053268241,0.0030539692077226413,0.13761842130227328,0.08937240415490588
0,1,4,payoffs,2.0,0.3496469831895264,1.0,1.3496469831895266,2.0,0.3496469831895264,3.0,1.3496469831895266,0.0,0.3496469831895264,1.0,1.3496469831895266
0,1,5,shares,0.003847417442886549,0.0015669093155542746,0.0030728845574206306,0.0015127886841385446,0.19044716342288423,0.0775620111199366,0.06154812409484666,0.3708747261647483,0.06154812409484666,0.0010290256455583878,0.1521077855923212,0.07488303986485796
0,1,5,payoffs,2.0,0.30395758272545914,1.0,1.303957582725459,2.0,0.30395758272545914,3.0,1.303957582725459,0.0,0.30395758272545914,1.0,1.303957582725459
0,1,6,shares,0.0040824973492118305,0.0013318294092289934,0.0032920057174833767,0.0012936675240757985,0.20208361878598566,0.06592555575683519,0.062271709574087675,0.3701511406855073,0.062271709574087675,0.0003054401663173742,0.1629542830154271,0.06403654244175203
0,1,6,payoffs,2.0,0.26861587334854076,1.0,1.2686158733485406,2.0,0.26861587334854076,3.0,1.2686158733485406,0.0,0.26861587334854076,1.0,1.2686158733485406
0,1,7,shares,0.00426056394421184,0.0011537628142289837,0.0034600139660801764,0.0011256592754789988,0.21089791523848614,0.0571112593043347,0.06249645927077675,0.36992639098881824,0.06249645927077675,8.06904696282969e-05,0.1712706913209687,0.055720134136210436
0,1,7,payoffs,2.0,0.24054240402328875,1.0,1.2405424040232886,2.0,0.24054240402328875,3.0,1.2405424040232886,0.0,0.24054240402328875,1.0,1.2405424040232886
0,1,8,shares,0.004399136477420595,0.0010151902810202286,0.003591917973380327,0.000993755268178848,0.2177572556323195,0.05025191891050132,0.06255798974491938,0.3698648605146756,0.06255798974491938,1.915999548567001e-05,0.17779993968232616,0.04919088577485298
0,1,8,payoffs,2.0,0.21762095037248907,1.0,1.217620950372489,2.0,0.21762095037248907,3.0,1.217620950372489,0.0,0.21762095037248907,1.0,1.217620950372489
0,1,9,shares,0.004509558546394911,0.0009047682120459121,0.0036977263047517825,0.0008879469368073922,0.2232231480465482,0.044786026496272655,0.06257302490562143,0.36984982535397354,0.06257302490562143,4.124834783624741e-06,0.18303745208521321,0.04395337337196591
0,1,9,payoffs,2.0,0.1985069618589388,1.0,1.1985069618589388,2.0,0.1985069618589388,3.0,1.1985069618589388,0.0,0.1985069618589388,1.0,1.1985069618589388
0,2,0,shares,0.0,0.0057136780981087605,0.0,0.004286321901891239,0.0,0.2730039918374142,0.0,0.5065208300871589,0.0,0.005671377542145337,0.0,0.20480380053328137
0,2,0,payoffs,2.0,0.5687780949553367,1.0,1.5687780949553367,2.0,0.5687780949553367,3.0,1.5687780949553367,0.0,0.5687780949553367,1.0,1.5687780949553367
0,2,1,shares,0.0015925030462665042,0.0041211750518422565,0.0008962275712630013,0.0033900943306282376,0.07609103648802062,0.19691295534939357,0.0028726708603851276,0.5036481592267738,0.0028726708603851276,0.0027987066817602097,0.042822451728692486,0.1619813488045889
0,2,1,payoffs,2.0,0.4670499339214895,1.0,1.4670499339214895,2.0,0.4670499339214895,3.0,1.4670499339214895,0.0,0.4670499339214895,1.0,1.4670499339214895
0,2,2,shares,0.0025416862132462345,0.003171991884862526,0.0015385180277999494,0.0027478038740912894,0.12144374784502165,0.15156024399239254,0.004487564059721878,0.502033266027437,0.004487564059721878,0.0011838134824234596,0.07351159023856102,0.13129221029472035
0,2,2,payoffs,2.0,0.3937327020481489,1.0,1.393732702048149,2.0,0.3937327020481489,3.0,1.393732702048149,0.0,0.3937327020481489,1.0,1.393732702048149
0,2,3,shares,0.0031614033965629423,0.002552274701545818,0.0020035693314871196,0.002282752570404119,0.15105431777049586,0.12194967406691834,0.005237970317444565,0.5012828597697143,0.005237970317444565,0.00043340722470077233,0.0957321039139491,0.10907169661933228
0,2,3,payoffs,2.0,0.33877436605162486,1.0,1.338774366051625,2.0,0.33877436605162486,3.0,1.338774366051625,0.0,0.33877436605162486,1.0,1.338774366051625
0,2,4,shares,0.003592226268985036,0.0021214518291237244,0.0023482060936563577,0.0019381158082348812,0.1716393703279761,0.10136462150943809,0.005532530600609094,0.5009882994865498,0.005532530600609094,0.00013884694153624391,0.1121991169641359,0.09260468356914547
0,2,4,payoffs,2.0,0.2964286008921595,1.0,1.2964286008921595,2.0,0.2964286008921595,3.0,1.2964286008921595,0.0,0.2964286008921595,1.0,1.2964286008921595
0,2,5,shares,0.003906234463953744,0.0018074436341550164,0.0026102862145604344,0.0016760356873308047,0.18664292657040665,0.08636106526700756,0.005632022976022401,0.5008888071111365,0.005632022976022401,3.935456612293644e-05,0.12472150936347808,0.0800822911698033
0,2,5,payoffs,2.0,0.262971473133459,1.0,1.262971473133459,2.0,0.262971473133459,3.0,1.262971473133459,0.0,0.262971473133459,1.0,1.262971473133459
0,2,6,shares,0.004143781490890299,0.001569896607218462,0.0028145477525572155,0.0014717741493340236,0.19799310862288438,0.07501088321452984,0.0056614067650007155,0.5008594233221582,0.0056614067650007155,9.970777144622117e-06,0.13448128481712657,0.0703225157161548
0,2,6,payoffs,2.0,0.2359380938027516,1.0,1.2359380938027515,2.0,0.2359380938027516,3.0,1.2359380938027515,0.0,0.2359380938027516,1.0,1.2359380938027515
0,2,7,shares,0.004328956587677623,0.0013847215104311381,0.002977298435524242,0.0013090234663669972,0.20684091904268248,0.06616307279473173,0.005669098717676913,0.5008517313694819,0.005669098717676913,2.278824468424768e-06,0.14225763927065635,0.06254616126262502
0,2,7,payoffs,2.0,0.21367916616343052,1.0,1.2136791661634305,2.0,0.21367916616343052,3.0,1.2136791661634305,0.0,0.21367916616343052,1.0,1.2136791661634305
0,2,8,shares,0.004476894665627112,0.0012367834324816486,0.003109504068176083,0.0011768178337151559,0.21390951568594344,0.05909447615147079,0.005670903922205994,0.5008499261649528,0.005670903922205994,4.7361993934378105e-07,0.14857452741829108,0.05622927311499028
0,2,8,payoffs,2.0,0.1950628125853468,1.0,1.1950628125853469,2.0,0.1950628125853468,3.0,1.1950628125853469,0.0,0.1950628125853468,1.0,1.1950628125853469
0,2,9,shares,0.004597518946136834,0.0011161591519719266,0.003218714946596535,0.001067606955294704,0.2196730378036088,0.0533309540338054,0.005671287396517486,0.5008495426906413,0.005671287396517486,9.014562785149905e-08,0.15379270829038513,0.051011092242896225
0,2,9,payoffs,2.0,0.17928681101575433,1.0,1.1792868110157544,2.0,0.17928681101575433,3.0,1.1792868110157544,0.0,0.17928681101575433,1.0,1.1792868110157544
1,0,0,shares,0.0,0.004023282032925771,0.0,0.004023282032925771,0.0,0.24798835898353794,0.0,0.24798835898353794,0.0,0.24798835898353794,0.0,0.24798835898353794
1,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,1,shares,0.0010139139073896744,0.0030093681255360964,0.0010139139073896744,0.0030093681255360964,0.06249595330042109,0.18549240568311684,0.06149822619134788,0.18649013279219007,0.06149822619134788,0.18649013279219007,0.06249595330042109,0.18549240568311684
1,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,2,shares,0.001770291871448779,0.002252990161476992,0.001770291871448779,0.002252990161476992,0.1091178228445559,0.13887053613898204,0.10787065319131037,0.1401177057922276,0.10787065319131037,0.1401177057922276,0.1091178228445559,0.13887053613898204
1,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,3,shares,0.0023355537890240247,0.001687728243901746,0.0023355537890240247,0.001687728243901746,0.14395961971292856,0.10402873927060938,0.14277480172314255,0.10521355726039541,0.14277480172314255,0.10521355726039541,0.14395961971292856,0.10402873927060938
1,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,4,shares,0.002758491842201051,0.0012647901907247197,0.002758491842201051,0.0012647901907247197,0.17002881220321753,0.07795954678032041,0.1690154771395507,0.07897288184398726,0.1690154771395507,0.07897288184398726,0.17002881220321753,0.07795954678032041
1,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,5,shares,0.0030751919871789667,0.000948090045746804,0.0030751919871789667,0.000948090045746804,0.1895496781530024,0.05843868083053555,0.18872731567078455,0.05926104331275342,0.18872731567078455,0.05926104331275342,0.1895496781530024,0.05843868083053555
1,0,5,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,6,shares,0.0033124656643288173,0.0007108163685969533,0.0033124656643288173,0.0007108163685969533,0.2041748297940847,0.043813529189453256,0.20352687720725224,0.04446148177628574,0.20352687720725224,0.04446148177628574,0.2041748297940847,0.043813529189453256
1,0,6,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,7,shares,0.003490295295022812,0.0005329867379029582,0.003490295295022812,0.0005329867379029582,0.21513595007686603,0.03285240890667191,0.21463439522984534,0.033353963753692636,0.21463439522984534,0.033353963753692636,0.21513595007686603,0.03285240890667191
1,0,7,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,8,shares,0.0036236047340003122,0.00039967729892545804,0.0036236047340003122,0.00039967729892545804,0.22335292038580692,0.02463543859773103,0.2229689590323226,0.02501939995121537,0.2229689590323226,0.02501939995121537,0.22335292038580692,0.02463543859773103
1,0,8,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,9,shares,0.003723555431059016,0.0002997266018667542,0.003723555431059016,0.0002997266018667542,0.2295137137728973,0.01847464521064063,0.22922184514375116,0.01876651383978683,0.22922184514375116,0.01876651383978683,0.2295137137728973,0.01847464521064063
1,0,9,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,1,0,shares,0.0,0.00435574565672741,0.0,0.0036908184091241306,0.0,0.2684808593386107,0.0,0.4333337153466712,0.0,0.0626430026204048,0.0,0.22749585862846525
1,1,0,payoffs,2.0,0.6709592152314835,1.0,1.6709592152314834,2.0,0.6709592152314835,3.0,1.6709592152314834,0.0,0.6709592152314835,1.0,1.6709592152314834
1,1,1,shares,0.001188406857204692,0.0031673387995227176,0.0008532680435545668,0.0028375503655695637,0.07325140616817721,0.1952294531704335,0.027145325065971174,0.40618839028070003,0.027145325065971174,0.03549767755443363,0.0525940115961279,0.17490184703233735
1,1,1,payoffs,2.0,0.5719934067931179,1.0,1.5719934067931178,2.0,0.5719934067931179,3.0,1.5719934067931178,0.0,0.5719934067931179,1.0,1.5719934067931178
1,1,2,shares,0.0019567765749186755,0.002398969081808734,0.0014699601030094345,0.0022208583061146957,0.12061242730195233,0.1478684320366584,0.044775983045189954,0.3885577323014813,0.044775983045189954,0.017867019575214846,0.09060587618101684,0.1368899824474484
1,1,2,payoffs,2.0,0.4832816823274548,1.0,1.4832816823274548,2.0,0.4832816823274548,3.0,1.4832816823274548,0.0,0.4832816823274548,1.0,1.4832816823274548
1,1,3,shares,0.0024748640975733073,0.0018808815591541024,0.0019139729470670128,0.0017768454620571174,0.15254647356107998,0.11593438577753074,0.05475347476555288,0.37858024058111833,0.05475347476555288,0.007889527854851917,0.11797408344671015,0.1095217751817551
1,1,3,payoffs,2.0,0.40840848804631796,1.0,1.408408488046318,2.0,0.40840848804631796,3.0,1.408408488046318,0.0,0.40840848804631796,1.0,1.408408488046318
1,1,4,shares,0.002834842081736133,0.0015209035749912771,0.0022352297688861766,0.0014555886402379536,0.17473491295761487,0.09374594638099586,0.05960548687183364,0.37372822847483755,0.05960548687183364,0.00303751574857116,0.13777581531716168,0.08972004331130357
1,1,4,payoffs,2.0,0.34908710897167905,1.0,1.3490871089716792,2.0,0.34908710897167905,3.0,1.3490871089716792,0.0,0.34908710897167905,1.0,1.3490871089716792
1,1,5,shares,0.003092103403488442,0.001263642253238968,0.0024708694630129566,0.0012199489461111736,0.19059206950025395,0.07788878983835677,0.061621091983776737,0.37171262336289446,0.061621091983776737,0.0010219106366280654,0.15230025098427494,0.07519560764419031
1,1,5,payoffs,2.0,0.30351678928692544,1.0,1.3035167892869253,2.0,0.30351678928692544,3.0,1.3035167892869253,0.0,0.30351678928692544,1.0,1.3035167892869253
1,1,6,shares,0.003281427423994555,0.0010743182327328548,0.0026473272191782685,0.001043491189945862,0.2022616846992993,0.0662191746393114,0.06234010631226316,0.37099360903440803,0.06234010631226316,0.00030289630814164337,0.16317681122122424,0.06431904740724102
1,1,6,payoffs,2.0,0.2682649029126019,1.0,1.268264902912602,2.0,0.2682649029126019,3.0,1.268264902912602,0.0,0.2682649029126019,1.0,1.268264902912602
1,1,7,shares,0.00342488265252477,0.00093086300420264,0.002782667808214999,0.0009081506009091317,0.2111040244656084,0.05737683487300231,0.0625630888082569,0.3707706265384143,0.0625630888082569,7.991381214790658e-05,0.17151897821434375,0.05597688041412151
1,1,7,payoffs,2.0,0.24025684700999714,1.0,1.2402568470099973,2.0,0.24025684700999714,3.0,1.2402568470099973,0.0,0.24025684700999714,1.0,1.2402568470099973
1,1,8,shares,0.0035365527079473493,0.0008191929487800605,0.002888955001903568,0.0008018634072205625,0.21798717945330576,0.05049367988530495,0.06262404982978347,0.3707096655168877,0.06262404982978347,1.8952790621341078e-05,0.17807034262978494,0.04942551599868032
1,1,8,payoffs,2.0,0.2173839049150034,1.0,1.2173839049150033,2.0,0.2173839049150034,3.0,1.2173839049150033,0.0,0.2173839049150034,1.0,1.2173839049150033
1,1,9,shares,0.003625559513665032,0.0007301861430623778,0.0029742358664659194,0.000716582542658211,0.22347340972691232,0.04500744961169838,0.06263892691169594,0.3706947884349752,0.06263892691169594,4.075708708862218e-06,0.18332691213757443,0.04416894649089084
1,1,9,payoffs,2.0,0.19830707659621719,1.0,1.1983070765962172,2.0,0.19830707659621719,3.0,1.1983070765962172,0.0,0.19830707659621719,1.0,1.1983070765962172
1,2,0,shares,0.0,0.004595013598002276,0.0,0.003451550467849265,0.0,0.2733504902727564,0.0,0.5076109634723674,0.0,0.0056644042689222235,0.0,0.20532757792010586
1,2,0,payoffs,2.0,0.5672198162793598,1.0,1.5672198162793598,2.0,0.5672198162793598,3.0,1.5672198162793598,0.0,0.5672198162793598,1.0,1.5672198162793598
1,2,1,shares,0.0012771633697897257,0.0033178502282125506,0.0007206116982646057,0.002730938769584659,0.07597653975217991,0.19737395052057646,0.0028753137084445908,0.5047356497639228,0.002875313708444591,0.0027890905604776323,0.042868112752169486,0.16245946516793638
1,2,1,payoffs,2.0,0.46594750012383146,1.0,1.4659475001238316,2.0,0.46594750012383146,3.0,1.4659475001238316,0.0,0.46594750012383146,1.0,1.4659475001238316
1,2,2,shares,0.002039540335897537,0.0025554732621047393,0.0012371233667982174,0.0022144271010510475,0.12132920585720056,0.15202128441555582,0.004487109268732743,0.5031238542036347,0.004487109268732744,0.00117729500018948,0.07359461982641304,0.13173295809369284
