,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,1,shares,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,2,shares,0.375,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,3,shares,0.4375,0.0625,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.5104166666666666,0.0,0.4895833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,payoffs,2.0,1.0208333333333333,1.0,2.0208333333333335,2.0,1.0208333333333333,3.0,2.0208333333333335,0.0,1.0208333333333333,1.0,2.0208333333333335
0,1,1,shares,0.26052517361111105,0.24989149305555558,0.23969184027777776,0.24989149305555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,2,shares,0.38547092013888884,0.12494574652777779,0.3646375868055555,0.12494574652777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,3,shares,0.44794379340277773,0.062472873263888895,0.4271104600694444,0.062472873263888895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,2,0,shares,0.0,0.5207570043103449,0.0,0.4792429956896551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,payoffs,2.0,1.0415140086206898,1.0,2.0415140086206898,2.0,1.0415140086206898,3.0,2.0415140086206898,0.0,1.0415140086206898,1.0,2.0415140086206898
0,2,1,shares,0.27118785753828456,0.24956914677206032,0.2296738489175948,0.24956914677206032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,2,2,shares,0.3959724309243147,0.12478457338603016,0.35445842230362495,0.12478457338603016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,2,3,shares,0.4583647176173298,0.06239228669301508,0.41685070899664,0.06239228669301508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,3,0,shares,0.0,0.5310137853930843,0.0,0.46898621460691575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,payoffs,2.0,1.0620275707861686,1.0,2.0620275707861686,2.0,1.0620275707861686,3.0,2.0620275707861686,0.0,1.0620275707861686,1.0,2.0620275707861686
0,3,1,shares,0.2819756402774926,0.2490381451155917,0.21994806949132403,0.24903814511559172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,3,2,shares,0.4064947128352885,0.12451907255779585,0.34446714204911993,0.12451907255779583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,3,3,shares,0.4687542491141864,0.06225953627889792,0.40672667832801784,0.06225953627889792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,4,0,shares,0.0,0.5411801759365426,0.0,0.4588198240634574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0,payoffs,2.0,1.082360351873085,1.0,2.0823603518730853,2.0,1.082360351873085,3.0,2.0823603518730853,0.0,1.082360351873085,1.0,2.0823603518730853
0,4,1,shares,0.2928759828267071,0.24830419310983542,0.210515630953622,0.2483041931098354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,4,2,shares,0.41702807938162484,0.12415209655491771,0.3346677275085397,0.12415209655491771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,4,3,shares,0.4791041276590837,0.062076048277458856,0.3967437757859985,0.062076048277458856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,5,0,shares,0.0,0.5512497397108975,0.0,0.4487502602891024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0,payoffs,2.0,1.102499479421795,1.0,2.102499479421795,2.0,1.102499479421795,3.0,2.102499479421795,0.0,1.102499479421795,1.0,2.102499479421795
0,5,1,shares,0.3038762755313323,0.24737346417956524,0.20137679610953718,0.24737346417956524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,5,2,shares,0.4275630076211149,0.12368673208978262,0.32506352819931983,0.12368673208978262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,5,3,shares,0.4894063736660062,0.06184336604489131,0.38690689424421115,0.06184336604489131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,6,0,shares,0.0,0.5612164401817735,0.0,0.43878355981822653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0,payoffs,2.0,1.122432880363547,1.0,2.122432880363547,2.0,1.122432880363547,3.0,2.122432880363547,0.0,1.122432880363547,1.0,2.122432880363547
0,6,1,shares,0.3149638927303022,0.24625254745147135,0.19253101236675518,0.24625254745147135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,6,2,shares,0.4380901664560378,0.12312627372573567,0.3156572860924909,0.12312627372573567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,6,3,shares,0.4996533033189057,0.06156313686286784,0.37722042295535874,0.06156313686286784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,7,0,shares,0.0,0.5710746403772089,0.0,0.4289253596227911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0,payoffs,2.0,1.1421492807544178,1.0,2.142149280754418,2.0,1.1421492807544178,3.0,2.142149280754418,0.0,1.1421492807544178,1.0,2.142149280754418
0,7,1,shares,0.32612624488195846,0.24494839549525044,0.18397696412754067,0.24494839549525044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,7,2,shares,0.44860044262958365,0.12247419774762522,0.30645116187516586,0.12247419774762522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,7,3,shares,0.5098375415033962,0.06123709887381261,0.3676882607489785,0.06123709887381261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,8,0,shares,0.0,0.580819100840766,0.0,0.41918089915923384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0,payoffs,2.0,1.1616382016815323,1.0,2.1616382016815323,2.0,1.1616382016815323,3.0,2.1616382016815323,0.0,1.1616382016815323,1.0,2.1616382016815323
0,8,1,shares,0.337350827901476,0.24346827293929002,0.1757126262199438,0.24346827293929005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,8,2,shares,0.459084964371121,0.12173413646964501,0.29744676268958886,0.121734136469645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,8,3,shares,0.5199520326059435,0.060867068234822505,0.3583138309244114,0.060867068234822505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,9,0,shares,0.0,0.5904449758384887,0.0,0.4095550241615111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,0,payoffs,2.0,1.1808899516769775,1.0,2.1808899516769773,2.0,1.1808899516769775,3.0,2.1808899516769773,0.0,1.1808899516769775,1.0,2.1808899516769773
0,9,1,shares,0.3486252694929135,0.24181970634557515,0.167735317815936,0.24181970634557512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,9,2,shares,0.4695351226657011,0.12090985317278757,0.28864517098872355,0.12090985317278757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,9,3,shares,0.5299900492520948,0.06045492658639379,0.34910009757511734,0.06045492658639379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,10,0,shares,0.0,0.5999478079868503,0.0,0.4000521920131493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0,payoffs,2.0,1.199895615973701,1.0,2.199895615973701,2.0,1.199895615973701,3.0,2.199895615973701,0.0,1.199895615973701,1.0,2.199895615973701
0,10,1,shares,0.35993737230822676,0.24001043567862357,0.16004175633452572,0.24001043567862357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,10,2,shares,0.47994259014753854,0.12000521783931178,0.2800469741738375,0.12000521783931178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,10,3,shares,0.5399451990671944,0.06000260891965589,0.3400495830934934,0.06000260891965589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,11,0,shares,0.0,0.6093235214663973,0.0,0.3906764785336024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,0,payoffs,2.0,1.218647042932795,1.0,2.218647042932795,2.0,1.218647042932795,3.0,2.218647042932795,0.0,1.218647042932795,1.0,2.218647042932795
0,11,1,shares,0.37127515381221127,0.23804836765418608,0.15262811087941633,0.23804836765418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,11,2,shares,0.49029933763930433,0.11902418382709304,0.2716522947065093,0.11902418382709304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,11,3,shares,0.5498114295528509,0.05951209191354652,0.3311643866200558,0.05951209191354652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,12,0,shares,0.0,0.6185684139817507,0.0,0.3814315860182491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,0,payoffs,2.0,1.2371368279635016,1.0,2.2371368279635013,2.0,1.2371368279635016,3.0,2.2371368279635013,0.0,1.2371368279635016,1.0,2.2371368279635013
0,12,1,shares,0.3826268827758985,0.23594153120585215,0.14549005481239702,0.2359415312058521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,1,payoffs,2.0,1.0000000000000002,1.0,2.0000000000000004,2.0,1.0000000000000002,3.0,2.0000000000000004,0.0,1.0000000000000002,1.0,2.0000000000000004
0,12,2,shares,0.5005976483788246,0.11797076560292605,0.26346082041532304,0.11797076560292606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,12,3,shares,0.5595830311802876,0.058985382801463024,0.3224462032167861,0.05898538280146302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,13,0,shares,0.0,0.6276791476232709,0.0,0.37232085237672874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,0,payoffs,2.0,1.2553582952465423,1.0,2.2553582952465425,2.0,1.2553582952465423,3.0,2.2553582952465425,0.0,1.2553582952465423,1.0,2.2553582952465425
0,13,1,shares,0.3939811123610761,0.23369803526219485,0.13862281711453386,0.23369803526219488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,13,2,shares,0.5108301299921735,0.11684901763109742,0.25547183474563134,0.11684901763109741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,13,3,shares,0.5692546388077222,0.05842450881554871,0.31389634356118,0.05842450881554871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,14,0,shares,0.0,0.6366527387792521,0.0,0.3633472612207476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0,payoffs,2.0,1.2733054775585044,1.0,2.2733054775585044,2.0,1.2733054775585044,3.0,2.2733054775585044,0.0,1.2733054775585044,1.0,2.2733054775585044
0,14,1,shares,0.4053267097951227,0.2313260289841294,0.1320212322366182,0.2313260289841294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,14,2,shares,0.5209897242871874,0.1156630144920647,0.24768424672868292,0.1156630144920647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,14,3,shares,0.5788212315332197,0.05783150724603235,0.30551575397471525,0.05783150724603235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,0,shares,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
