,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.003333333333333334,0.0,0.006666666666666666,0.0,0.165,0.0,0.33,0.0,0.165,0.0,0.33
0,1,0,payoffs,2.0,0.6666666666666667,1.0,1.6666666666666667,2.0,0.6666666666666667,3.0,1.6666666666666667,0.0,0.6666666666666667,1.0,1.6666666666666667
0,2,0,shares,0.0,0.001666666666666667,0.0,0.008333333333333333,0.0,0.0825,0.0,0.41250000000000003,0.0,0.0825,0.0,0.41250000000000003
0,2,0,payoffs,2.0,0.33333333333333337,1.0,1.3333333333333335,2.0,0.33333333333333337,3.0,1.3333333333333335,0.0,0.33333333333333337,1.0,1.3333333333333335
0,3,0,shares,0.0,0.00047619047619047646,0.0,0.009523809523809523,0.0,0.02357142857142857,0.0,0.4714285714285714,0.0,0.02357142857142857,0.0,0.4714285714285714
0,3,0,payoffs,2.0,0.09523809523809523,1.0,1.0952380952380951,2.0,0.09523809523809523,3.0,1.0952380952380951,0.0,0.09523809523809523,1.0,1.0952380952380951
0,4,0,shares,0.0,4.329004329004333e-05,0.0,0.009956709956709955,0.0,0.0021428571428571434,0.0,0.4928571428571427,0.0,0.0021428571428571434,0.0,0.4928571428571427
0,4,0,payoffs,2.0,0.008658008658008663,1.0,1.0086580086580088,2.0,0.008658008658008663,3.0,1.0086580086580088,0.0,0.008658008658008663,1.0,1.0086580086580088
0,5,0,shares,0.0,3.731900283624457e-07,0.0,0.009999626809971634,0.0,1.8472906403941048e-05,0.0,0.49498152709359583,0.0,1.8472906403941048e-05,0.0,0.49498152709359583
0,5,0,payoffs,2.0,7.463800567248912e-05,1.0,1.0000746380056724,2.0,7.463800567248912e-05,3.0,1.0000746380056724,0.0,7.463800567248912e-05,1.0,1.0000746380056724
0,6,0,shares,0.0,2.7853120003192046e-11,0.0,0.009999999972146876,0.0,1.3787294401580052e-09,0.0,0.4949999986212703,0.0,1.3787294401580052e-09,0.0,0.4949999986212703
0,6,0,payoffs,2.0,5.570624000638408e-09,1.0,1.000000005570624,2.0,5.570624000638408e-09,3.0,1.000000005570624,0.0,5.570624000638408e-09,1.0,1.000000005570624
0,7,0,shares,0.0,1.551592577094322e-19,0.0,0.009999999999999995,0.0,7.680383256616887e-18,0.0,0.4949999999999997,0.0,7.680383256616887e-18,0.0,0.4949999999999997
0,7,0,payoffs,2.0,3.103185154188643e-17,1.0,1.0,2.0,3.103185154188643e-17,3.0,1.0,0.0,3.103185154188643e-17,1.0,1.0
0,8,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,8,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,9,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,9,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,10,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,10,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,11,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,11,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,12,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,12,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,13,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,13,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
0,14,0,shares,0.0,0.0,0.0,0.009999999999999995,0.0,0.0,0.0,0.4949999999999997,0.0,0.0,0.0,0.4949999999999997
0,14,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,0,0,shares,0.0,0.0050000000000000305,0.0,0.0050000000000000305,0.0,0.2475000000000015,0.0,0.2475000000000015,0.0,0.2475000000000015,0.0,0.2475000000000015
1,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,1,0,shares,0.0,0.003333333333333354,0.0,0.006666666666666707,0.0,0.165000000000001,0.0,0.33000000000000196,0.0,0.165000000000001,0.0,0.33000000000000196
1,1,0,payoffs,2.0,0.6666666666666667,1.0,1.6666666666666665,2.0,0.6666666666666667,3.0,1.6666666666666665,0.0,0.6666666666666667,1.0,1.6666666666666665
1,2,0,shares,0.0,0.0016666666666666774,0.0,0.008333333333333384,0.0,0.08250000000000052,0.0,0.4125000000000024,0.0,0.08250000000000052,0.0,0.4125000000000024
1,2,0,payoffs,2.0,0.3333333333333334,1.0,1.3333333333333335,2.0,0.3333333333333334,3.0,1.3333333333333335,0.0,0.3333333333333334,1.0,1.3333333333333335
1,3,0,shares,0.0,0.0004761904761904794,0.0,0.00952380952380958,0.0,0.023571428571428726,0.0,0.4714285714285742,0.0,0.023571428571428726,0.0,0.4714285714285742
1,3,0,payoffs,2.0,0.09523809523809529,1.0,1.0952380952380953,2.0,0.09523809523809529,3.0,1.0952380952380953,0.0,0.09523809523809529,1.0,1.0952380952380953
1,4,0,shares,0.0,4.3290043290043595e-05,0.0,0.009956709956710013,0.0,0.0021428571428571603,0.0,0.4928571428571457,0.0,0.0021428571428571603,0.0,0.4928571428571457
1,4,0,payoffs,2.0,0.008658008658008679,1.0,1.0086580086580088,2.0,0.008658008658008679,3.0,1.0086580086580088,0.0,0.008658008658008679,1.0,1.0086580086580088
1,5,0,shares,0.0,3.7319002836244796e-07,0.0,0.009999626809971693,0.0,1.8472906403941194e-05,0.0,0.4949815270935989,0.0,1.8472906403941194e-05,0.0,0.4949815270935989
1,5,0,payoffs,2.0,7.463800567248924e-05,1.0,1.0000746380056724,2.0,7.463800567248924e-05,3.0,1.0000746380056724,0.0,7.463800567248924e-05,1.0,1.0000746380056724
1,6,0,shares,0.0,2.7853120003192217e-11,0.0,0.009999999972146935,0.0,1.3787294401580161e-09,0.0,0.49499999862127336,0.0,1.3787294401580161e-09,0.0,0.49499999862127336
1,6,0,payoffs,2.0,5.570624000638417e-09,1.0,1.000000005570624,2.0,5.570624000638417e-09,3.0,1.000000005570624,0.0,5.570624000638417e-09,1.0,1.000000005570624
1,7,0,shares,0.0,1.5515925770943315e-19,0.0,0.010000000000000054,0.0,7.680383256616949e-18,0.0,0.49500000000000277,0.0,7.680383256616949e-18,0.0,0.49500000000000277
1,7,0,payoffs,2.0,3.1031851541886487e-17,1.0,1.0,2.0,3.1031851541886487e-17,3.0,1.0,0.0,3.1031851541886487e-17,1.0,1.0
1,8,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,8,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,9,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,9,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,10,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,10,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,11,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,11,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,12,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,12,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,13,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,13,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
1,14,0,shares,0.0,0.0,0.0,0.010000000000000054,0.0,0.0,0.0,0.49500000000000277,0.0,0.0,0.0,0.49500000000000277
1,14,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,0,0,shares,0.0,0.004999999999999762,0.0,0.004999999999999762,0.0,0.2474999999999877,0.0,0.2474999999999877,0.0,0.2474999999999877,0.0,0.2474999999999877
2,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
2,1,0,shares,0.0,0.003333333333333175,0.0,0.006666666666666349,0.0,0.16499999999999182,0.0,0.3299999999999836,0.0,0.16499999999999182,0.0,0.3299999999999836
2,1,0,payoffs,2.0,0.6666666666666667,1.0,1.6666666666666665,2.0,0.6666666666666667,3.0,1.6666666666666665,0.0,0.6666666666666667,1.0,1.6666666666666665
2,2,0,shares,0.0,0.0016666666666665878,0.0,0.008333333333332936,0.0,0.08249999999999595,0.0,0.41249999999997955,0.0,0.08249999999999595,0.0,0.41249999999997955
2,2,0,payoffs,2.0,0.3333333333333335,1.0,1.3333333333333335,2.0,0.3333333333333335,3.0,1.3333333333333335,0.0,0.3333333333333335,1.0,1.3333333333333335
2,3,0,shares,0.0,0.0004761904761904538,0.0,0.009523809523809068,0.0,0.02357142857142742,0.0,0.4714285714285481,0.0,0.02357142857142742,0.0,0.4714285714285481
2,3,0,payoffs,2.0,0.0952380952380953,1.0,1.0952380952380953,2.0,0.0952380952380953,3.0,1.0952380952380953,0.0,0.0952380952380953,1.0,1.0952380952380953
2,4,0,shares,0.0,4.3290043290041325e-05,0.0,0.00995670995670948,0.0,0.002142857142857039,0.0,0.49285714285711835,0.0,0.002142857142857039,0.0,0.49285714285711835
2,4,0,payoffs,2.0,0.008658008658008668,1.0,1.0086580086580088,2.0,0.008658008658008668,3.0,1.0086580086580088,0.0,0.008658008658008668,1.0,1.0086580086580088
2,5,0,shares,0.0,3.7319002836242837e-07,0.0,0.00999962680997116,0.0,1.8472906403940147e-05,0.0,0.4949815270935714,0.0,1.8472906403940147e-05,0.0,0.4949815270935714
2,5,0,payoffs,2.0,7.463800567248917e-05,1.0,1.0000746380056724,2.0,7.463800567248917e-05,3.0,1.0000746380056724,0.0,7.463800567248917e-05,1.0,1.0000746380056724
2,6,0,shares,0.0,2.7853120003190753e-11,0.0,0.009999999972146402,0.0,1.378729440157938e-09,0.0,0.4949999986212459,0.0,1.378729440157938e-09,0.0,0.4949999986212459
2,6,0,payoffs,2.0,5.570624000638411e-09,1.0,1.000000005570624,2.0,5.570624000638411e-09,3.0,1.000000005570624,0.0,5.570624000638411e-09,1.0,1.000000005570624
2,7,0,shares,0.0,1.55159257709425e-19,0.0,0.009999999999999521,0.0,7.680383256616513e-18,0.0,0.4949999999999753,0.0,7.680383256616513e-18,0.0,0.4949999999999753
2,7,0,payoffs,2.0,3.103185154188645e-17,1.0,1.0,2.0,3.103185154188645e-17,3.0,1.0,0.0,3.103185154188645e-17,1.0,1.0
2,8,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,8,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,9,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,9,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,10,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,10,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,11,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,11,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,12,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,12,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,13,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,13,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2,14,0,shares,0.0,0.0,0.0,0.009999999999999521,0.0,0.0,0.0,0.4949999999999753,0.0,0.0,0.0,0.4949999999999753
2,14,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,0,0,shares,0.0,0.00500000000000224,0.0,0.00500000000000224,0.0,0.2475000000001109,0.0,0.2475000000001109,0.0,0.2475000000001109,0.0,0.2475000000001109
3,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
3,1,0,shares,0.0,0.0033333333333348267,0.0,0.0066666666666696526,0.0,0.1650000000000739,0.0,0.3300000000001478,0.0,0.1650000000000739,0.0,0.3300000000001478
3,1,0,payoffs,2.0,0.6666666666666667,1.0,1.6666666666666667,2.0,0.6666666666666667,3.0,1.6666666666666667,0.0,0.6666666666666667,1.0,1.6666666666666667
3,2,0,shares,0.0,0.0016666666666674134,0.0,0.008333333333337066,0.0,0.08250000000003696,0.0,0.4125000000001847,0.0,0.08250000000003696,0.0,0.4125000000001847
3,2,0,payoffs,2.0,0.3333333333333334,1.0,1.3333333333333335,2.0,0.3333333333333334,3.0,1.3333333333333335,0.0,0.3333333333333334,1.0,1.3333333333333335
3,3,0,shares,0.0,0.00047619047619068967,0.0,0.00952380952381379,0.0,0.02357142857143914,0.0,0.4714285714287826,0.0,0.02357142857143914,0.0,0.4714285714287826
3,3,0,payoffs,2.0,0.09523809523809529,1.0,1.0952380952380953,2.0,0.09523809523809529,3.0,1.0952380952380953,0.0,0.09523809523809529,1.0,1.0952380952380953
3,4,0,shares,0.0,4.3290043290062765e-05,0.0,0.009956709956714417,0.0,0.0021428571428581044,0.0,0.4928571428573635,0.0,0.0021428571428581044,0.0,0.4928571428573635
3,4,0,payoffs,2.0,0.008658008658008668,1.0,1.0086580086580086,2.0,0.008658008658008668,3.0,1.0086580086580086,0.0,0.008658008658008668,1.0,1.0086580086580086
3,5,0,shares,0.0,3.731900283626132e-07,0.0,0.009999626809976117,0.0,1.8472906403949332e-05,0.0,0.4949815270938176,0.0,1.8472906403949332e-05,0.0,0.4949815270938176
3,5,0,payoffs,2.0,7.463800567248914e-05,1.0,1.0000746380056724,2.0,7.463800567248914e-05,3.0,1.0000746380056724,0.0,7.463800567248914e-05,1.0,1.0000746380056724
3,6,0,shares,0.0,2.7853120003204547e-11,0.0,0.009999999972151358,0.0,1.3787294401586235e-09,0.0,0.4949999986214921,0.0,1.3787294401586235e-09,0.0,0.4949999986214921
3,6,0,payoffs,2.0,5.570624000638409e-09,1.0,1.000000005570624,2.0,5.570624000638409e-09,3.0,1.000000005570624,0.0,5.570624000638409e-09,1.0,1.000000005570624
3,7,0,shares,0.0,1.5515925770950184e-19,0.0,0.010000000000004478,0.0,7.680383256620332e-18,0.0,0.4950000000002215,0.0,7.680383256620332e-18,0.0,0.4950000000002215
3,7,0,payoffs,2.0,3.103185154188645e-17,1.0,1.0,2.0,3.103185154188645e-17,3.0,1.0,0.0,3.103185154188645e-17,1.0,1.0
3,8,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,8,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,9,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,9,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,10,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,10,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,11,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,11,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,12,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,12,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,13,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,13,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,14,0,shares,0.0,0.0,0.0,0.010000000000004478,0.0,0.0,0.0,0.4950000000002215,0.0,0.0,0.0,0.4950000000002215
3,14,0,payoffs,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
4,0,0,shares,0.0,0.004999999999979863,0.0,0.004999999999979863,0.0,0.24749999999900313,0.0,0.24749999999900313,0.0,0.24749999999900313,0.0,0.24749999999900313
4,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
4,1,0,shares,0.0,0.003333333333319909,0.0,0.006666666666639816,0.0,0.16499999999933537,0.0,0.32999999999867075,0.0,0.16499999999933537,0.0,0.32999999999867075
4,1,0,payoffs,2.0,0.6666666666666666,1.0,1.6666666666666665,2.0,0.6666666666666666,3.0,1.6666666666666665,0.0,0.6666666666666666,1.0,1.6666666666666665
4,2,0,shares,0.0,0.0016666666666599545,0.0,0.00833333333329977,0.0,0.0824999999996677,0.0,0.4124999999983384,0.0,0.0824999999996677,0.0,0.4124999999983384
4,2,0,payoffs,2.0,0.33333333333333337,1.0,1.3333333333333333,2.0,0.33333333333333337,3.0,1.3333333333333333,0.0,0.33333333333333337,1.0,1.3333333333333333
4,3,0,shares,0.0,0.00047619047618855856,0.0,0.009523809523771166,0.0,0.023571428571333635,0.0,0.47142857142667255,0.0,0.023571428571333635,0.0,0.47142857142667255
4,3,0,payoffs,2.0,0.09523809523809526,1.0,1.0952380952380953,2.0,0.09523809523809526,3.0,1.0952380952380953,0.0,0.09523809523809526,1.0,1.0952380952380953
4,4,0,shares,0.0,4.329004328986898e-05,0.0,0.009956709956669856,0.0,0.002142857142848513,0.0,0.49285714285515764,0.0,0.002142857142848513,0.0,0.49285714285515764
4,4,0,payoffs,2.0,0.008658008658008665,1.0,1.0086580086580088,2.0,0.008658008658008665,3.0,1.0086580086580088,0.0,0.008658008658008665,1.0,1.0086580086580088
4,5,0,shares,0.0,3.731900283609426e-07,0.0,0.009999626809931364,0.0,1.8472906403866648e-05,0.0,0.4949815270916022,0.0,1.8472906403866648e-05,0.0,0.4949815270916022
