,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.5,0.0,1.5,2.0,1.5,3.0,1.5,1.0,1.5,0.0,1.5
0,0,1,shares,0.0012625,0.0037375000000000004,0.0012625,0.0037375000000000004,0.06249375,0.18500624999999998,0.06125625,0.18624374999999999,0.06125625,0.18624374999999999,0.06249375,0.18500624999999998
0,0,1,payoffs,2.0,1.5,0.0,1.5,2.0,1.5,3.0,1.5,1.0,1.5,0.0,1.5
0,1,0,shares,0.0,0.005439321444106133,0.0,0.004560678555893867,0.0,0.2580231346394331,0.0,0.27824406002501045,0.0,0.23738953730721132,0.0,0.21634326802834514
0,1,0,payoffs,2.0,1.5008519933907507,0.0,1.502555980172252,2.0,1.5008519933907507,3.0,1.502555980172252,1.0,1.5008519933907507,0.0,1.502555980172252
0,1,1,shares,0.0014330569870920655,0.004006264457014068,0.001007471892099063,0.0035532066637948036,0.06797940877847877,0.19004372586095433,0.06605222866781717,0.21219183135719327,0.06605222866781717,0.17133730863939417,0.04779108172439326,0.16855218630395188
0,1,1,payoffs,2.0,1.4873880780646336,0.0,1.4621642341939012,2.0,1.4873880780646336,3.0,1.4621642341939012,1.0,1.4873880780646336,0.0,1.4621642341939012
0,2,0,shares,0.0,0.005850744555642561,0.0,0.004149255444357439,0.0,0.26762911831586594,0.0,0.3076834301088147,0.0,0.2248891163925366,0.0,0.18979833518278272
0,2,0,payoffs,2.0,1.498368979264045,0.0,1.4951069377921353,2.0,1.498368979264045,3.0,1.4951069377921353,1.0,1.498368979264045,0.0,1.4951069377921353
0,2,1,shares,0.0016000608187733524,0.004250683736869209,0.0008047380963296691,0.0033445173480277698,0.07319117457744574,0.19443794373842022,0.06919465472579613,0.2384887753830186,0.06919465472579613,0.15569446166674045,0.03681092981374307,0.15298740536903965
0,2,1,payoffs,2.0,1.4730129441103665,0.0,1.4190388323310994,2.0,1.4730129441103665,3.0,1.4190388323310994,1.0,1.4730129441103665,0.0,1.4190388323310994
0,3,0,shares,0.0,0.0062472633483874485,0.0,0.0037527366516125517,0.0,0.2773547135937953,0.0,0.33464502177894334,0.0,0.21139304140693702,0.0,0.16660722322032426
0,3,0,payoffs,2.0,1.4949950183491199,0.0,1.4849850550473593,2.0,1.4949950183491199,3.0,1.4849850550473593,1.0,1.4949950183491199,0.0,1.4849850550473593
0,3,1,shares,0.001771736236081121,0.004475527112306327,0.0006393160653786609,0.003113420586233891,0.07865834508943326,0.19869636850436206,0.07074162894554152,0.2639033928334018,0.07074162894554152,0.1406514124613955,0.028383199862189262,0.138224023358135
0,3,1,payoffs,2.0,1.4590038255592068,0.0,1.3770114766776202,2.0,1.4590038255592068,3.0,1.3770114766776202,1.0,1.4590038255592068,0.0,1.3770114766776202
0,4,0,shares,0.0,0.006631704139607721,0.0,0.003368295860392279,0.0,0.2878529993094641,0.0,0.3582269660669844,0.0,0.19771718154619428,0.0,0.14620285307735728
0,4,0,payoffs,2.0,1.492201884995266,0.0,1.4766056549857984,2.0,1.492201884995266,3.0,1.4766056549857984,1.0,1.492201884995266,0.0,1.4766056549857984
0,4,1,shares,0.0019529354269143618,0.004678768712693359,0.0005037998818011388,0.0028644959785911403,0.08476830513857342,0.2030846941708907,0.07082762608460832,0.2873993399823761,0.07082762608460832,0.12688955546158595,0.02186772871275732,0.12433512436459995
0,4,1,payoffs,2.0,1.4466494955927707,0.0,1.3399484867783116,2.0,1.4466494955927707,3.0,1.3399484867783116,1.0,1.4466494955927707,0.0,1.3399484867783116
0,5,0,shares,0.0,0.007000929122604225,0.0,0.002999070877395777,0.0,0.29950502880217084,0.0,0.3778911758009006,0.0,0.18430128100437548,0.0,0.12830251439255333
0,5,0,payoffs,2.0,1.4908072389291505,0.0,1.4724217167874514,2.0,1.4908072389291505,3.0,1.4724217167874514,1.0,1.4908072389291505,0.0,1.4724217167874514
0,5,1,shares,0.002145826487087263,0.004855102635516962,0.00039378276053900267,0.0026052881168567746,0.09180007575629671,0.2077049530458741,0.06964582778035562,0.308245348020545,0.06964582778035562,0.11465545322401986,0.01684632353386271,0.11145619085869062
0,5,1,payoffs,2.0,1.4365653873567967,0.0,1.3096961620703904,2.0,1.4365653873567967,3.0,1.3096961620703904,1.0,1.4365653873567967,0.0,1.3096961620703904
0,6,0,shares,0.0,0.007349250460527093,0.0,0.002650749539472908,0.0,0.31248883172779635,0.0,0.39345585883589995,0.0,0.17134590713169492,0.0,0.11270940230460931
0,6,0,payoffs,2.0,1.4911839893200183,0.0,1.4735519679600544,2.0,1.4911839893200183,3.0,1.4735519679600544,1.0,1.4911839893200183,0.0,1.4735519679600544
0,6,1,shares,0.002350570172816637,0.004998680287710456,0.00030579086937422556,0.0023449586700986826,0.09994582864508805,0.2125430030827083,0.06741705104851735,0.3260388077873826,0.06741705104851735,0.10392885608317758,0.013002173764115473,0.09970722854049384
0,6,1,payoffs,2.0,1.4288781169764873,0.0,1.2866343509294618,2.0,1.4288781169764873,3.0,1.2866343509294618,1.0,1.4288781169764873,0.0,1.2866343509294618
0,7,0,shares,0.0,0.007671009829397617,0.0,0.0023289901706023846,0.0,0.32683332193765413,0.0,0.4050229143567358,0.0,0.1589141171340465,0.0,0.0992296465715643
0,7,0,payoffs,2.0,1.493418448901098,0.0,1.4802553467032937,2.0,1.493418448901098,3.0,1.4802553467032937,1.0,1.493418448901098,0.0,1.4802553467032937
0,7,1,shares,0.0025659860169611336,0.005105023812436483,0.00023652906671228424,0.0020924611038901004,0.10932716195396061,0.21750615998369352,0.06436385885405915,0.34065905550267667,0.06436385885405915,0.09455025827998734,0.010077627630215077,0.08915201894134922
0,7,1,payoffs,2.0,1.4234097862673074,0.0,1.2702293588019222,2.0,1.4234097862673074,3.0,1.2702293588019222,1.0,1.4234097862673074,0.0,1.2702293588019222
0,8,0,shares,0.0,0.007962143975606656,0.0,0.002037856024393344,0.0,0.34246293059954663,0.0,0.41288277898343895,0.0,0.14700325717875823,0.0,0.0876510332382569
0,8,0,payoffs,2.0,1.497428331753911,0.0,1.4922849952617332,2.0,1.497428331753911,3.0,1.4922849952617332,1.0,1.497428331753911,0.0,1.4922849952617332
0,8,1,shares,0.002790134896430068,0.005172009079176588,0.00018277304330503917,0.0018550829810883046,0.12000759799457159,0.22245533260497505,0.060695113343582824,0.35218766563985615,0.06069511334358283,0.0863081438351754,0.007861323813862894,0.079789709424394
0,8,1,payoffs,2.0,1.4198300933077888,0.0,1.259490279923367,2.0,1.4198300933077888,3.0,1.259490279923367,1.0,1.4198300933077888,0.0,1.259490279923367
0,9,0,shares,0.0,0.00822077227349463,0.0,0.0017792277265053704,0.0,0.3592330120972699,0.0,0.4174279563378992,0.0,0.13558996929482237,0.0,0.07774906227000954
0,9,0,payoffs,2.0,1.5030437536655865,0.0,1.5091312609967593,2.0,1.5030437536655865,3.0,1.5091312609967593,1.0,1.5030437536655865,0.0,1.5091312609967593
0,9,1,shares,0.003020753882345852,0.005200018391148777,0.00014149893860335887,0.0016377287879020116,0.1320015297660503,0.22723148233121956,0.05659904378265616,0.360828912555243,0.05659904378265615,0.07899092551216622,0.006183249971166408,0.07156581229884312
0,9,1,payoffs,2.0,1.417761603876171,0.0,1.2532848116285131,2.0,1.417761603876171,3.0,1.2532848116285131,1.0,1.417761603876171,0.0,1.2532848116285131
0,10,0,shares,0.0,0.008447071306250338,0.0,0.0015529286937496622,0.0,0.3769563399646781,0.0,0.41908914003710607,0.0,0.12465401389394737,0.0,0.06930050610426948
0,10,0,payoffs,2.0,1.5100574251648753,0.0,1.5301722754946259,2.0,1.5100574251648753,3.0,1.5301722754946259,1.0,1.5100574251648753,0.0,1.5301722754946259
0,10,1,shares,0.0032555300966776537,0.005191541209572685,0.0001100303319485646,0.0014428983618010975,0.14528025932259056,0.23167608064208753,0.05224114348498782,0.36684799655211825,0.05224114348498782,0.07241287040895955,0.00491017889072858,0.0643903272135409
0,10,1,payoffs,2.0,1.416841578565403,0.0,1.2505247356962084,2.0,1.416841578565403,3.0,1.2505247356962084,1.0,1.416841578565403,0.0,1.2505247356962084
0,11,0,shares,0.0,0.00864277835069827,0.0,0.0013572216493017316,0.0,0.39542225669170034,0.0,0.4182948269788298,0.0,0.11418764723647579,0.0,0.06209526909299519
0,11,0,payoffs,2.0,1.518252682278874,0.0,1.5547580468366218,2.0,1.518252682278874,3.0,1.5547580468366218,1.0,1.518252682278874,0.0,1.5547580468366218
0,11,1,shares,0.0034922445371385765,0.005150533813559692,8.611909413756299e-05,0.0012711025551641686,0.15977630800667605,0.23564594868502428,0.04776410214390124,0.37053072483492855,0.04776410214390124,0.06642354509257455,0.003940099487263709,0.05815516960573148
0,11,1,payoffs,2.0,1.416752038308959,0.0,1.2502561149268767,2.0,1.416752038308959,3.0,1.2502561149268767,1.0,1.416752038308959,0.0,1.2502561149268767
0,12,0,shares,0.0,0.008810603661838336,0.0,0.001189396338161665,0.0,0.41441052522377875,0.0,0.41544922049219213,0.0,0.10419648696514346,0.0,0.0559437673188867
0,12,0,payoffs,2.0,1.5274176158507602,0.0,1.5822528475522804,2.0,1.5274176158507602,3.0,1.5822528475522804,1.0,1.5274176158507602,0.0,1.5822528475522804
0,12,1,shares,0.003728833627926968,0.005081770033911368,6.795397564128437e-05,0.0011214423625203807,0.17538729030728895,0.2390232349164898,0.04328834928769366,0.3721608712044985,0.04328834928769366,0.0609081376774498,0.003196244413821784,0.05274752290506492
0,12,1,payoffs,2.0,1.4172301100591724,0.0,1.2516903301775169,2.0,1.4172301100591724,3.0,1.2516903301775169,1.0,1.4172301100591724,0.0,1.2516903301775169
0,13,0,shares,0.0,0.008953716142453822,0.0,0.001046283857546179,0.0,0.4337016423544044,0.0,0.4109221111120522,0.0,0.09469616910344618,0.0,0.050680077430098204
0,13,0,payoffs,2.0,1.537351527600304,0.0,1.6120545828009116,2.0,1.537351527600304,3.0,1.6120545828009116,1.0,1.537351527600304,0.0,1.6120545828009116
0,13,1,shares,0.003963410428917,0.004990305713536822,5.412045682486386e-05,0.0009921634007213152,0.1919803559770649,0.2417212863773395,0.03891274972221196,0.3720093613898402,0.03891274972221195,0.055783419381234225,0.002621495995235049,0.048058581434863155
0,13,1,payoffs,2.0,1.4180676828528236,0.0,1.2542030485584705,2.0,1.4180676828528236,3.0,1.2542030485584705,1.0,1.4180676828528236,0.0,1.2542030485584705
0,14,0,shares,0.0,0.009075365690317139,0.0,0.0009246343096828631,0.0,0.4530847745543941,0.0,0.40504561837868797,0.0,0.08570753029298785,0.0,0.0461620767739309
0,14,0,payoffs,2.0,1.5478676705376988,0.0,1.643603011613096,2.0,1.5478676705376988,3.0,1.643603011613096,1.0,1.5478676705376988,0.0,1.643603011613096
0,14,1,shares,0.004194272280209006,0.004881093410108133,4.3537988598033595e-05,0.0008810963210848296,0.20939772295080197,0.24368705160359214,0.034715459607233365,0.3703301587714546,0.034715459607233365,0.05099207068575448,0.00217362037207368,0.04398845640185722
0,14,1,payoffs,2.0,1.419106058275439,0.0,1.2573181748263167,2.0,1.419106058275439,3.0,1.2573181748263167,1.0,1.419106058275439,0.0,1.2573181748263167
1,0,0,shares,0.0,0.005151363128703423,0.0,0.005151363128703423,0.0,0.24742431843564616,0.0,0.24742431843564616,0.0,0.24742431843564616,0.0,0.24742431843564616
1,0,0,payoffs,2.0,1.5,0.0,1.5,2.0,1.5,3.0,1.5,1.0,1.5,0.0,1.5
1,0,1,shares,0.0013011090532177383,0.0038502540754856845,0.0013011090532177383,0.0038502540754856845,0.062493365864478526,0.18493095257116765,0.061218793353344556,0.1862055250823016,0.061218793353344556,0.1862055250823016,0.062493365864478526,0.18493095257116765
1,0,1,payoffs,2.0,1.5,0.0,1.5,2.0,1.5,3.0,1.5,1.0,1.5,0.0,1.5
1,1,0,shares,0.0,0.00560412561190629,0.0,0.004698600645500554,0.0,0.2579506125192558,0.0,0.2781531207565184,0.0,0.23732306431701486,0.0,0.2162704761497957
1,1,0,payoffs,2.0,1.5008778024481813,0.0,1.5026334073445433,2.0,1.5008778024481813,3.0,1.5026334073445433,1.0,1.5008778024481813,0.0,1.5026334073445433
1,1,1,shares,0.001476993858100113,0.004127131753806177,0.0010382454468660493,0.0036603551986345044,0.06798410613328587,0.1899665063859699,0.06601215096727817,0.2121409697892402,0.06601215096727817,0.1713109133497367,0.04778908745289989,0.1684813886968958
1,1,1,payoffs,2.0,1.4874093084728677,0.0,1.462227925418603,2.0,1.4874093084728677,3.0,1.462227925418603,1.0,1.4874093084728677,0.0,1.462227925418603
1,2,0,shares,0.0,0.0060280414989318425,0.0,0.0042746847584750015,0.0,0.26755638148689126,0.0,0.3075791827293749,0.0,0.2248285787611434,0.0,0.18973313076517506
1,2,0,payoffs,2.0,1.4984130017469708,0.0,1.4952390052409121,2.0,1.4984130017469708,3.0,1.4952390052409121,1.0,1.4984130017469708,0.0,1.4952390052409121
1,2,1,shares,0.0016491782552198783,0.004378863243711964,0.0008293222520439838,0.0034453625064310178,0.07319925824526653,0.19435712324162474,0.06915259050955998,0.23842659221981494,0.06915259050955996,0.15567598825158344,0.03680971023221497,0.1529234205329601
1,2,1,payoffs,2.0,1.4730492496353014,0.0,1.4191477489059041,2.0,1.4730492496353014,3.0,1.4191477489059041,1.0,1.4730492496353014,0.0,1.4191477489059041
1,3,0,shares,0.0,0.006436532092745339,0.0,0.0038661941646615044,0.0,0.27727910240728265,0.0,0.33453024347907034,0.0,0.21133630778151913,0.0,0.16655162007471253
1,3,0,payoffs,2.0,1.4950519422815511,0.0,1.4851558268446539,2.0,1.4950519422815511,3.0,1.4851558268446539,1.0,1.4950519422815511,0.0,1.4851558268446539
1,3,1,shares,0.0018261447866730527,0.004610387306072286,0.0006588683589666416,0.003207325805694863,0.07866841647308112,0.19861068593420153,0.07069838649811995,0.2638318569809504,0.07069838649811995,0.1406379212833992,0.028383363051159398,0.13816825702355312
1,3,1,payoffs,2.0,1.4590500638697814,0.0,1.3771501916093438,2.0,1.4590500638697814,3.0,1.3771501916093438,1.0,1.4590500638697814,0.0,1.3771501916093438
1,4,0,shares,0.0,0.006832535578497175,0.0,0.0034701906789096682,0.0,0.2877722890127784,0.0,0.35810486835410793,0.0,0.19766285111045223,0.0,0.14615726526524603
1,4,0,payoffs,2.0,1.492267675701732,0.0,1.4768030271051962,2.0,1.492267675701732,3.0,1.4768030271051962,1.0,1.492267675701732,0.0,1.4768030271051962
1,4,1,shares,0.002012897945616827,0.004819637632880349,0.0005192358029263805,0.0029509548759832876,0.08477910472684017,0.20299318428593824,0.07078402927540674,0.2873208390787012,0.07078402927540674,0.1268788218350455,0.021869139769394065,0.12428812549585197
1,4,1,payoffs,2.0,1.4467012952531646,0.0,1.3401038857594942,2.0,1.4467012952531646,3.0,1.3401038857594942,1.0,1.4467012952531646,0.0,1.3401038857594942
1,5,0,shares,0.0,0.007212841272793898,0.0,0.003089884984612946,0.0,0.29941735296401173,0.0,0.3777650037403944,0.0,0.18424851714585264,0.0,0.12826639989232586
1,5,0,payoffs,2.0,1.4908787113826625,0.0,1.4726361341479874,2.0,1.4908787113826625,3.0,1.4726361341479874,1.0,1.4908787113826625,0.0,1.4726361341479874
1,5,1,shares,0.0022116749204760602,0.005001166352317838,0.00040587581227579723,0.0026840091723371487,0.0918104010972259,0.20760695186678585,0.06960264176876574,0.30816236197162866,0.06960264176876574,0.1146458753770869,0.01684859776439585,0.11141780212793001
1,5,1,payoffs,2.0,1.4366191615656816,0.0,1.3098574846970452,2.0,1.4366191615656816,3.0,1.3098574846970452,1.0,1.4366191615656816,0.0,1.3098574846970452
1,6,0,shares,0.0,0.007571607166112318,0.0,0.002731119091294526,0.0,0.3123926728836097,0.0,0.3933285673664448,0.0,0.17129433010048478,0.0,0.11268170339204525
1,6,0,payoffs,2.0,1.4912586101502112,0.0,1.4737758304506334,2.0,1.4912586101502112,3.0,1.4737758304506334,1.0,1.4912586101502112,0.0,1.4737758304506334
1,6,1,shares,0.002422643835724465,0.005148963330387853,0.0003152061628644381,0.0024159129284300877,0.09995449667201338,0.21243817621159633,0.06737495345641914,0.32595361391002564,0.06737495345641914,0.10391937664406564,0.013004913430706578,0.09967678996133868
1,6,1,payoffs,2.0,1.42893109336313,0.0,1.2867932800893904,2.0,1.42893109336313,3.0,1.2867932800893904,1.0,1.42893109336313,0.0,1.2867932800893904
1,7,0,shares,0.0,0.007903016663623192,0.0,0.002399709593783652,0.0,0.32672751037779235,0.0,0.40489697092188415,0.0,0.15886369614737014,0.0,0.09920909629553819
1,7,0,payoffs,2.0,1.4934942231887898,0.0,1.4804826695663693,2.0,1.4934942231887898,3.0,1.4804826695663693,1.0,1.4934942231887898,0.0,1.4804826695663693
1,7,1,shares,0.0026445906313653403,0.005258426032257851,0.00024383162630550848,0.0021558779674781432,0.10933299899665112,0.21739451138114124,0.0643234293595253,0.34057354156235886,0.0643234293595253,0.09454026678784484,0.010080517807948462,0.08912857848758973
1,7,1,payoffs,2.0,1.4234599761160864,0.0,1.2703799283482586,2.0,1.4234599761160864,3.0,1.2703799283482586,1.0,1.4234599761160864,0.0,1.2703799283482586
1,8,0,shares,0.0,0.008202891137449105,0.0,0.0020998351199577386,0.0,0.34234663052090175,0.0,0.4127600914744586,0.0,0.14695419696432588,0.0,0.08763635478289875
1,8,0,payoffs,2.0,1.497503718622681,0.0,1.4925111558680424,2.0,1.497503718622681,3.0,1.4925111558680424,1.0,1.497503718622681,0.0,1.4925111558680424
1,8,1,shares,0.0028755195644483327,0.005327371573000772,0.00018843120308921659,0.001911403916868522,0.12000944757045127,0.22233718295045046,0.060656827781551244,0.35210326369290734,0.06065682778155125,0.08629736918277463,0.00786415257519237,0.07977220220770638
1,8,1,payoffs,2.0,1.4198762023094744,0.0,1.2596286069284233,2.0,1.4198762023094744,3.0,1.2596286069284233,1.0,1.4198762023094744,0.0,1.2596286069284233
1,9,0,shares,0.0,0.00846929585020304,0.0,0.001833430407203804,0.0,0.35910569313796253,0.0,0.4173098938125842,0.0,0.13554260330219237,0.0,0.07773908348984589
1,9,0,payoffs,2.0,1.5031175922903621,0.0,1.509352776871086,2.0,1.5031175922903621,3.0,1.509352776871086,1.0,1.5031175922903621,0.0,1.509352776871086
1,9,1,shares,0.0031131013288759244,0.005356194521327115,0.00014589066655649937,0.0016875397406473046,0.13199827120077523,0.2271074219371873,0.05656326939111959,0.3607466244214646,0.05656326939111959,0.07897933391107279,0.006185894301339719,0.07155318918850617
1,9,1,payoffs,2.0,1.4178029103663676,0.0,1.2534087310991033,2.0,1.4178029103663676,3.0,1.2534087310991033,1.0,1.4178029103663676,0.0,1.2534087310991033
1,10,0,shares,0.0,0.00870241202807812,0.0,0.001600314229328724,0.0,0.37681773925738976,0.0,0.41897660589900393,0.0,0.12460871589533835,0.0,0.06929421269085295
1,10,0,payoffs,2.0,1.5101288671808104,0.0,1.5303866015424312,2.0,1.5101288671808104,3.0,1.5303866015424312,1.0,1.5101288671808104,0.0,1.5303866015424312
1,10,1,shares,0.00335495520161318,0.0053474568264649395,0.00011345352021189595,0.001486860709116828,0.14527083184555808,0.23154690741183168,0.052208136851262556,0.36676846904774135,0.052208136851262556,0.07240057904407579,0.00491258042702451,0.06438163226382844
1,10,1,payoffs,2.0,1.4168778038410867,0.0,1.2506334115232602,2.0,1.4168778038410867,3.0,1.2506334115232602,1.0,1.4168778038410867,0.0,1.2506334115232602
1,11,0,shares,0.0,0.0089040267829488,0.0,0.001398699474458042,0.0,0.3952723374216619,0.0,0.4181883513765271,0.0,0.11414476692805516,0.0,0.062091818016340755
1,11,0,payoffs,2.0,1.51832113113267,0.0,1.5549633933980103,2.0,1.51832113113267,3.0,1.5549633933980103,1.0,1.51832113113267,0.0,1.5549633933980103
1,11,1,shares,0.003598797171912752,0.005305229611036048,8.880415344745015e-05,0.001309895321010592,0.1597597362097467,0.2355126012119152,0.047734011899901715,0.37045433947662537,0.047734011899901715,0.06641075502815344,0.003942241657802012,0.05814957635853874
1,11,1,payoffs,2.0,1.4167832254641985,0.0,1.2503496763925954,2.0,1.4167832254641985,3.0,1.2503496763925954,1.0,1.4167832254641985,0.0,1.2503496763925954
