,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.07500000000000001,0.0,0.07500000000000001,0.0,0.425
0,0,0,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,1,shares,0.0,0.0,0.0,0.0,0.18062499999999998,0.244375,0.0056250000000000015,0.069375,0.0056250000000000015,0.069375,0.18062499999999998,0.244375
0,0,1,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,2,shares,0.0,0.0,0.0,0.0,0.2757949452191235,0.1492050547808765,0.013294945219123508,0.0617050547808765,0.013294945219123508,0.0617050547808765,0.2757949452191235,0.1492050547808765
0,0,2,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,3,shares,0.0,0.0,0.0,0.0,0.32857133516653414,0.09642866483346585,0.022321335166534152,0.05267866483346585,0.022321335166534152,0.05267866483346585,0.32857133516653414,0.09642866483346585
0,0,3,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,4,shares,0.0,0.0,0.0,0.0,0.3597518526579793,0.06524814734202067,0.031626852657979335,0.04337314734202067,0.031626852657979335,0.04337314734202067,0.3597518526579793,0.06524814734202067
0,0,4,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,5,shares,0.0,0.0,0.0,0.0,0.379348934169251,0.04565106583074899,0.04028643416925102,0.034713565830748985,0.04028643416925102,0.034713565830748985,0.379348934169251,0.04565106583074899
0,0,5,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,6,shares,0.0,0.0,0.0,0.0,0.3923149601958582,0.032685039804141724,0.04778371019585828,0.027216289804141723,0.04778371019585828,0.027216289804141723,0.3923149601958582,0.032685039804141724
0,0,6,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,0,7,shares,0.0,0.0,0.0,0.0,0.40123222325148994,0.023767776748510005,0.05396659825149,0.021033401748510004,0.05396659825149,0.021033401748510004,0.40123222325148994,0.023767776748510005
0,0,7,payoffs,1.0,0.5,0.0,2.0,1.0,0.5,4.0,2.0,0.0,0.5,0.0,2.0
0,1,0,shares,0.0,0.0,0.0,0.0,0.0,0.41759597391487263,0.0,0.2380709801934558,0.0,0.0281259741037287,0.0,0.31620707178794266
0,1,0,payoffs,1.0,0.44572194801860143,0.0,1.7828877920744057,1.0,0.44572194801860143,4.0,1.7828877920744057,0.0,0.44572194801860143,0.0,1.7828877920744057
0,1,1,shares,0.0,0.0,0.0,0.0,0.17438639742991102,0.2432095764849616,0.0066959782237704475,0.23137500196968536,0.0066959782237704475,0.021429995879958252,0.09998691224870514,0.2162201595392375
0,1,1,payoffs,1.0,0.3715622950955312,0.0,1.4862491803821247,1.0,0.3715622950955312,4.0,1.4862491803821247,0.0,0.3715622950955312,0.0,1.4862491803821247
0,1,2,shares,0.0,0.0,0.0,0.0,0.25743612146158357,0.16015985245328904,0.013657679335940524,0.2244133008575153,0.013657679335940524,0.014468294767788176,0.1656270097723037,0.15058006201563892
0,1,2,payoffs,1.0,0.3177243685225085,0.0,1.270897474090034,1.0,0.3177243685225085,4.0,1.270897474090034,0.0,0.3177243685225085,0.0,1.270897474090034
0,1,3,shares,0.0,0.0,0.0,0.0,0.3041067445481172,0.1134892293667554,0.019565158804970388,0.21850582138848543,0.019565158804970388,0.008560815298758313,0.20688149974440506,0.10932557204353759
0,1,3,payoffs,1.0,0.2712937994989084,0.0,1.0851751979956337,1.0,0.2712937994989084,4.0,1.0851751979956337,0.0,0.2712937994989084,0.0,1.0851751979956337
0,1,4,shares,0.0,0.0,0.0,0.0,0.3327360768378117,0.08485989707706088,0.02372311648048743,0.21434786371296838,0.02372311648048743,0.0044028576232412716,0.23344867876203648,0.08275839302590617
0,1,4,payoffs,1.0,0.23102979808812682,0.0,0.9241191923525073,1.0,0.23102979808812682,4.0,0.9241191923525073,0.0,0.23102979808812682,0.0,0.9241191923525073
0,1,5,shares,0.0,0.0,0.0,0.0,0.35137422306259763,0.06622175085227494,0.026165711765908477,0.21190526842754734,0.026165711765908477,0.0019602623378202236,0.2511751304531772,0.06503194133476546
0,1,5,payoffs,1.0,0.197560751924553,0.0,0.790243007698212,1.0,0.197560751924553,4.0,0.790243007698212,0.0,0.197560751924553,0.0,0.790243007698212
0,1,6,shares,0.0,0.0,0.0,0.0,0.364080905259044,0.05351506865582854,0.027369324573478713,0.2107016556199771,0.027369324573478713,0.0007566495302499879,0.26342931136373043,0.052777760424212186
0,1,6,payoffs,1.0,0.17079944755365978,0.0,0.6831977902146391,1.0,0.17079944755365978,4.0,0.6831977902146391,0.0,0.17079944755365978,0.0,0.6831977902146391
0,1,7,shares,0.0,0.0,0.0,0.0,0.37309381588224466,0.04450215803262787,0.027871060968956744,0.21019991922449907,0.027871060968956744,0.00025491313477195754,0.2721955806081919,0.04401149117975074
0,1,7,payoffs,1.0,0.14970498205066984,0.0,0.5988199282026794,1.0,0.14970498205066984,4.0,0.5988199282026794,0.0,0.14970498205066984,0.0,0.5988199282026794
0,2,0,shares,0.0,0.0,0.0,0.0,0.0,0.39538630067193303,0.0,0.3864932513437706,0.0,0.004470700878572248,0.0,0.21364974710572368
0,2,0,payoffs,1.0,0.39985700155050546,0.0,1.5994280062020219,1.0,0.39985700155050546,4.0,1.5994280062020219,0.0,0.39985700155050546,0.0,1.5994280062020219
0,2,1,shares,0.0,0.0,0.0,0.0,0.1563303267590363,0.23905597391289674,0.0017278957183448406,0.38476535562542574,0.0017278957183448408,0.0027428051602274074,0.0456462144383397,0.168003532667384
0,2,1,payoffs,1.0,0.30431489853433086,0.0,1.2172595941373234,1.0,0.30431489853433086,4.0,1.2172595941373234,0.0,0.30431489853433086,0.0,1.2172595941373234
0,2,2,shares,0.0,0.0,0.0,0.0,0.22825341274728667,0.16713288792464637,0.0030560851806529284,0.3834371661631177,0.0030560851806529284,0.0014146156979193197,0.08116891206117388,0.1324808350445498
0,2,2,payoffs,1.0,0.24624689255066293,0.0,0.9849875702026517,1.0,0.24624689255066293,4.0,0.9849875702026517,0.0,0.24624689255066293,0.0,0.9849875702026517
0,2,3,shares,0.0,0.0,0.0,0.0,0.26906394597198247,0.1263223546999506,0.0038485520480001437,0.38264469929577044,0.0038485520480001432,0.0006221488305721048,0.10681106864940751,0.10683867845631617
0,2,3,payoffs,1.0,0.2059356939961698,0.0,0.8237427759846792,1.0,0.2059356939961698,4.0,0.8237427759846792,0.0,0.2059356939961698,0.0,0.8237427759846792
0,2,4,shares,0.0,0.0,0.0,0.0,0.29495073302602925,0.10043556764590382,0.00423474799957868,0.3822585033441919,0.00423474799957868,0.00023595287899356852,0.12532824407395485,0.08832150303176883
0,2,4,payoffs,1.0,0.17622976181973363,0.0,0.7049190472789345,1.0,0.17622976181973363,4.0,0.7049190472789345,0.0,0.17622976181973363,0.0,0.7049190472789345
0,2,5,shares,0.0,0.0,0.0,0.0,0.31260898473010845,0.08277731594182462,0.0043926381585304795,0.38210061318524013,0.0043926381585304795,7.806272004176891e-05,0.13898367873005263,0.07466606837567105
0,2,5,payoffs,1.0,0.15354334963188934,0.0,0.6141733985275574,1.0,0.15354334963188934,4.0,0.6141733985275574,0.0,0.15354334963188934,0.0,0.6141733985275574
0,2,6,shares,0.0,0.0,0.0,0.0,0.3253069163745335,0.07007938429739956,0.004447913536231965,0.38204533780753863,0.004447913536231965,2.2787342340283695e-05,0.14931502390222515,0.06433472320349853
0,2,6,payoffs,1.0,0.1357300739658549,0.0,0.5429202958634196,1.0,0.1357300739658549,4.0,0.5429202958634196,0.0,0.1357300739658549,0.0,0.5429202958634196
0,2,7,shares,0.0,0.0,0.0,0.0,0.3348157044664238,0.06057059620550928,0.004464769484707575,0.382028481859063,0.004464769484707575,5.931393864673309e-06,0.1573287683217149,0.05632097878400878
0,2,7,payoffs,1.0,0.12141385501437878,0.0,0.4856554200575151,1.0,0.12141385501437878,4.0,0.4856554200575151,0.0,0.12141385501437878,0.0,0.4856554200575151
0,3,0,shares,0.0,0.0,0.0,0.0,0.0,0.3786482540618304,0.0,0.46460906088699355,0.0,0.0005272500758188361,0.0,0.15621543497535678
0,3,0,payoffs,1.0,0.3791755041376494,0.0,1.5167020165505976,1.0,0.3791755041376494,4.0,1.5167020165505976,0.0,0.3791755041376494,0.0,1.5167020165505976
0,3,1,shares,0.0,0.0,0.0,0.0,0.1433745003040725,0.2352737537577579,0.00024496516257878565,0.4643640957244148,0.0002449651625787857,0.00028228491324005036,0.024403262124539932,0.13181217285081684
0,3,1,payoffs,1.0,0.2832113609376279,0.0,1.1328454437505115,1.0,0.2832113609376279,4.0,1.1328454437505115,0.0,0.2832113609376279,0.0,1.1328454437505115
0,3,2,shares,0.0,0.0,0.0,0.0,0.20992684981005236,0.16872140425177803,0.00040256752734367204,0.4642064933596499,0.00040256752734367214,0.00012468254847516392,0.04529273432645358,0.1109227006489032
0,3,2,payoffs,1.0,0.22695120544421,0.0,0.90780482177684,1.0,0.22695120544421,4.0,0.90780482177684,0.0,0.22695120544421,0.0,0.90780482177684
0,3,3,shares,0.0,0.0,0.0,0.0,0.2481900999300622,0.1304581541317682,0.00048036372582472685,0.4641286971611689,0.000480363725824727,4.6886349994109064e-05,0.06183071056925317,0.09438472440610361
0,3,3,payoffs,1.0,0.18940717509028776,0.0,0.757628700361151,1.0,0.18940717509028776,4.0,0.757628700361151,0.0,0.18940717509028776,0.0,0.757628700361151
0,3,4,shares,0.0,0.0,0.0,0.0,0.2728909329510749,0.1057573211107555,0.000511946770018773,0.46409711411697485,0.0005119467700187732,1.5303305800062856e-05,0.07475993771176499,0.08145549726359179
0,3,4,payoffs,1.0,0.16239601753969518,0.0,0.6495840701587807,1.0,0.16239601753969518,4.0,0.6495840701587807,0.0,0.16239601753969518,0.0,0.6495840701587807
0,3,5,shares,0.0,0.0,0.0,0.0,0.29006301588877226,0.08858523817305818,0.0005228510305447247,0.4640862098564489,0.0005228510305447249,4.399045274111169e-06,0.08494685765559119,0.07126857731976559
0,3,5,payoffs,1.0,0.1419832179833909,0.0,0.5679328719335636,1.0,0.1419832179833909,4.0,0.5679328719335636,0.0,0.1419832179833909,0.0,0.5679328719335636
0,3,6,shares,0.0,0.0,0.0,0.0,0.30264000851081907,0.07600824555101139,0.0005261230146645126,0.46408293787232907,0.0005261230146645129,1.1270611543232423e-06,0.09308734247218697,0.06312809250316981
0,3,6,payoffs,1.0,0.12600597101109667,0.0,0.5040238840443867,1.0,0.12600597101109667,4.0,0.5040238840443867,0.0,0.12600597101109667,0.0,0.5040238840443867
0,3,7,shares,0.0,0.0,0.0,0.0,0.3122173592819948,0.06643089477983566,0.0005269901104210048,0.4640820707765726,0.000526990110421005,2.5996539783105886e-07,0.09969381009720571,0.056521624878151065
0,3,7,payoffs,1.0,0.11316390279039273,0.0,0.45265561116157094,1.0,0.11316390279039273,4.0,0.45265561116157094,0.0,0.11316390279039273,0.0,0.45265561116157094
0,4,0,shares,0.0,0.0,0.0,0.0,0.0,0.3598128328135674,0.0,0.5185724629062254,0.0,5.490115248855938e-05,0.0,0.12155980312771847
0,4,0,payoffs,1.0,0.35986773396605604,0.0,1.4394709358642241,1.0,0.35986773396605604,4.0,1.4394709358642241,0.0,0.35986773396605604,0.0,1.4394709358642241
0,4,1,shares,0.0,0.0,0.0,0.0,0.12946527465732424,0.23034755815624317,2.8470225862382488e-05,0.518543992680363,2.8470225862382488e-05,2.643092662617689e-05,0.014776785736449676,0.10678301739126879
0,4,1,payoffs,1.0,0.2692225313637552,0.0,1.0768901254550207,1.0,0.2692225313637552,4.0,1.0768901254550207,0.0,0.2692225313637552,0.0,1.0768901254550207
0,4,2,shares,0.0,0.0,0.0,0.0,0.19147291237303476,0.16833992044053264,4.448703341142319e-05,0.518527975872814,4.448703341142319e-05,1.0414119077136195e-05,0.028102249671224412,0.09345755345649405
0,4,2,payoffs,1.0,0.2157408653763666,0.0,0.8629634615054664,1.0,0.2157408653763666,4.0,0.8629634615054664,0.0,0.2157408653763666,0.0,0.8629634615054664
0,4,3,shares,0.0,0.0,0.0,0.0,0.22778846587418575,0.13202436693938166,5.140714606478009e-05,0.5185210557601606,5.140714606478009e-05,3.4940064237792932e-06,0.039295268859839826,0.08226453426787864
0,4,3,payoffs,1.0,0.18016571716901758,0.0,0.7206628686760703,1.0,0.18016571716901758,4.0,0.7206628686760703,0.0,0.18016571716901758,0.0,0.7206628686760703
0,4,4,shares,0.0,0.0,0.0,0.0,0.25157410114409107,0.10823873166947637,5.387942041684501e-05,0.5185185834858086,5.387942041684501e-05,1.0217320717143697e-06,0.048530161572736444,0.07302964155498202
0,4,4,payoffs,1.0,0.15467506835781808,0.0,0.6187002734312723,1.0,0.15467506835781808,4.0,0.6187002734312723,0.0,0.15467506835781808,0.0,0.6187002734312723
0,4,5,shares,0.0,0.0,0.0,0.0,0.26831577632904463,0.09149705648452283,5.4636488390071146e-05,0.5185178264178354,5.4636488390071146e-05,2.6466409848823485e-07,0.05615151076698902,0.06540829236072945
0,4,5,payoffs,1.0,0.13546660619075518,0.0,0.5418664247630207,1.0,0.13546660619075518,4.0,0.5418664247630207,0.0,0.13546660619075518,0.0,0.5418664247630207
0,4,6,shares,0.0,0.0,0.0,0.0,0.2807105361944033,0.07910229661916418,5.4839669157818486e-05,0.5185176232370676,5.4839669157818486e-05,6.148333074089427e-08,0.06248567753799696,0.05907412558972151
0,4,6,payoffs,1.0,0.12045541031634849,0.0,0.48182164126539395,1.0,0.12045541031634849,4.0,0.48182164126539395,0.0,0.12045541031634849,0.0,0.48182164126539395
0,4,7,shares,0.0,0.0,0.0,0.0,0.2902388283846361,0.06957400442893133,5.4888215642685756e-05,0.5185175746905828,5.4888215642685756e-05,1.2936845873625552e-08,0.06779979910139632,0.05376000402632216
0,4,7,payoffs,1.0,0.1083958001980489,0.0,0.4335832007921956,1.0,0.1083958001980489,4.0,0.4335832007921956,0.0,0.1083958001980489,0.0,0.4335832007921956
0,5,0,shares,0.0,0.0,0.0,0.0,0.0,0.3396790645388477,0.0,0.5617262846735717,0.0,5.251450158940752e-06,0.0,0.09858939933742188
0,5,0,payoffs,1.0,0.3396843159890066,0.0,1.3587372639560265,1.0,0.3396843159890066,4.0,1.3587372639560265,0.0,0.3396843159890066,0.0,1.3587372639560265
0,5,1,shares,0.0,0.0,0.0,0.0,0.11538186688598666,0.22429719765286105,2.9498775869302257e-06,0.5617233347959847,2.9498775869302257e-06,2.3015725720105267e-06,0.009719869661713638,0.08886952967570824
0,5,1,payoffs,1.0,0.2563738221209141,0.0,1.0254952884836563,1.0,0.2563738221209141,4.0,1.0254952884836563,0.0,0.2563738221209141,0.0,1.0254952884836563
0,5,2,shares,0.0,0.0,0.0,0.0,0.17288520668235832,0.1667938578564894,4.427598817644142e-06,0.561721857074754,4.427598817644142e-06,8.2385134129661e-07,0.018747029610175228,0.07984236972724665
0,5,2,payoffs,1.0,0.20633740774293963,0.0,0.8253496309717585,1.0,0.20633740774293963,4.0,0.8253496309717585,0.0,0.20633740774293963,0.0,0.8253496309717585
0,5,3,shares,0.0,0.0,0.0,0.0,0.2073008489494002,0.1323782155894475,5.000086236926453e-06,0.5617212845873347,5.000086236926453e-06,2.5136392201429943e-07,0.026633135567013112,0.07195626377040876
0,5,3,payoffs,1.0,0.17280520524286672,0.0,0.6912208209714669,1.0,0.17280520524286672,4.0,0.6912208209714669,0.0,0.17280520524286672,0.0,0.6912208209714669
0,5,4,shares,0.0,0.0,0.0,0.0,0.23017645022710748,0.10950261431174023,5.184402347433645e-06,0.5617211002712242,5.184402347433645e-06,6.704781150710662e-08,0.03339204587162557,0.0651973534657963
0,5,4,payoffs,1.0,0.14869573419452697,0.0,0.5947829367781079,1.0,0.14869573419452697,4.0,0.5947829367781079,0.0,0.14869573419452697,0.0,0.5947829367781079
0,5,5,shares,0.0,0.0,0.0,0.0,0.24645901188869435,0.09322005265015336,5.235544511415143e-06,0.5617210491290603,5.235544511415143e-06,1.5905647525608905e-08,0.03916414378729248,0.0594252555501294
0,5,5,payoffs,1.0,0.1304933603378559,0.0,0.5219734413514237,1.0,0.1304933603378559,4.0,0.5219734413514237,0.0,0.1304933603378559,0.0,0.5219734413514237
0,5,6,shares,0.0,0.0,0.0,0.0,0.25862360773430365,0.08105545680454404,5.248051450921131e-06,0.5617210366221208,5.248051450921131e-06,3.3987080196209002e-09,0.04410749096810462,0.05448190836931725
0,5,6,payoffs,1.0,0.11624881048313727,0.0,0.4649952419325491,1.0,0.11624881048313727,4.0,0.4649952419325491,0.0,0.11624881048313727,0.0,0.4649952419325491
0,5,7,shares,0.0,0.0,0.0,0.0,0.2680462077759035,0.07163285676294423,5.250789497214634e-06,0.5617210338840745,5.250789497214634e-06,6.606617261175659e-10,0.048364561686002776,0.0502248376514191
0,5,7,payoffs,1.0,0.1047909397834583,0.0,0.4191637591338332,1.0,0.1047909397834583,4.0,0.4191637591338332,0.0,0.1047909397834583,0.0,0.4191637591338332
0,6,0,shares,0.0,0.0,0.0,0.0,0.0,0.3199125455815886,0.0,0.5977103134314523,0.0,4.6872568922722736e-07,0.0,0.08237667226126999
0,6,0,payoffs,1.0,0.3199130143072778,0.0,1.2796520572291112,1.0,0.3199130143072778,4.0,1.2796520572291112,0.0,0.3199130143072778,0.0,1.2796520572291112
0,6,1,shares,0.0,0.0,0.0,0.0,0.102344036820492,0.21756850876109662,2.801621786213795e-07,0.5977100332692737,2.801621786213795e-07,1.8856351060584785e-07,0.006785916132840688,0.0755907561284293
0,6,1,payoffs,1.0,0.2442206188081339,0.0,0.9768824752325356,1.0,0.2442206188081339,4.0,0.9768824752325356,0.0,0.2442206188081339,0.0,0.9768824752325356
0,6,2,shares,0.0,0.0,0.0,0.0,0.15547870661223256,0.16443383896935604,4.0667487647150087e-07,0.5977099067565759,4.0667487647150087e-07,6.205081275572646e-08,0.013199832533873234,0.06917683972739676
0,6,2,payoffs,1.0,0.197798408488765,0.0,0.79119363395506,1.0,0.197798408488765,4.0,0.79119363395506,0.0,0.197798408488765,0.0,0.79119363395506
0,6,3,shares,0.0,0.0,0.0,0.0,0.18800344598852167,0.13190909959306693,4.512886913908642e-07,0.597709862142761,4.512886913908642e-07,1.743699783636318e-08,0.018956257770076812,0.06342041449119318
0,6,3,payoffs,1.0,0.16633362489171594,0.0,0.6653344995668637,1.0,0.16633362489171594,4.0,0.6653344995668637,0.0,0.16633362489171594,0.0,0.6653344995668637
0,6,4,shares,0.0,0.0,0.0,0.0,0.20994436177968018,0.10996818380190841,4.6443087027406324e-07,0.5977098490005821,4.6443087027406324e-07,4.294818953164117e-09,0.02402807262110397,0.05834859964016602
0,6,4,payoffs,1.0,0.1435566112492959,0.0,0.5742264449971836,1.0,0.1435566112492959,4.0,0.5742264449971836,0.0,0.1435566112492959,0.0,0.5742264449971836
0,6,5,shares,0.0,0.0,0.0,0.0,0.22573102097497222,0.09418152460661636,4.677820012463669e-07,0.5977098456494512,4.677820012463669e-07,9.436879808604525e-10,0.02847251217018868,0.05390416009108131
0,6,5,payoffs,1.0,0.12628330634710722,0.0,0.5051332253884289,1.0,0.12628330634710722,4.0,0.5051332253884289,0.0,0.12628330634710722,0.0,0.5051332253884289
0,6,6,shares,0.0,0.0,0.0,0.0,0.23762457517993513,0.08228797040165345,4.685383098775075e-07,0.5977098448931425,4.685383098775075e-07,1.8737934971986063e-10,0.03236856457760356,0.05000810768366643
0,6,6,payoffs,1.0,0.11272233276159148,0.0,0.4508893310463659,1.0,0.11272233276159148,4.0,0.4508893310463659,0.0,0.11272233276159148,0.0,0.4508893310463659
0,6,7,shares,0.0,0.0,0.0,0.0,0.24690026714070445,0.07301227844088412,4.6869173121081875e-07,0.5977098447397211,4.6869173121081875e-07,3.395801640857989e-11,0.035794305047291565,0.046582367213978425
0,6,7,payoffs,1.0,0.10178700879346532,0.0,0.4071480351738613,1.0,0.10178700879346532,4.0,0.4071480351738613,0.0,0.10178700879346532,0.0,0.4071480351738613
