,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,1,shares,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,2,shares,0.375,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,3,shares,0.4375,0.0625,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,4,shares,0.46875,0.03125,0.46875,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,5,shares,0.484375,0.015625,0.484375,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,6,shares,0.4921875,0.0078125,0.4921875,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,7,shares,0.49609375,0.00390625,0.49609375,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,8,shares,0.498046875,0.001953125,0.498046875,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,9,shares,0.4990234375,0.0009765625,0.4990234375,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,10,shares,0.49951171875,0.00048828125,0.49951171875,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,11,shares,0.499755859375,0.000244140625,0.499755859375,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,12,shares,0.4998779296875,0.0001220703125,0.4998779296875,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,13,shares,0.49993896484375,6.103515625e-05,0.49993896484375,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,14,shares,0.499969482421875,3.0517578125e-05,0.499969482421875,3.0517578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,0,shares,0.0,0.5185196487991898,0.0,0.4814803512008102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,payoffs,5.0,2.592598243995949,4.0,6.5925982439959485,5.0,2.592598243995949,9.0,6.5925982439959485,0.0,2.592598243995949,4.0,6.5925982439959485
0,1,1,shares,0.2688626261908351,0.24965702260835465,0.2318233285924555,0.24965702260835468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,2,shares,0.39369113749501244,0.12482851130417733,0.35665183989663285,0.12482851130417731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,3,shares,0.4561053931471011,0.06241425565208866,0.4190660955487215,0.06241425565208866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,4,shares,0.4873125209731454,0.03120712782604433,0.45027322337476583,0.03120712782604433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,5,shares,0.5029160848861676,0.015603563913022166,0.465876787287788,0.015603563913022166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,6,shares,0.5107178668426786,0.007801781956511083,0.4736785692442991,0.007801781956511083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,7,shares,0.5146187578209341,0.0039008909782555414,0.4775794602225546,0.0039008909782555414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,8,shares,0.516569203310062,0.0019504454891277707,0.47952990571168236,0.0019504454891277707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,9,shares,0.5175444260546258,0.0009752227445638854,0.48050512845624627,0.0009752227445638854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,10,shares,0.5180320374269077,0.0004876113722819427,0.4809927398285282,0.0004876113722819427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,11,shares,0.5182758431130488,0.00024380568614097134,0.48123654551466916,0.00024380568614097134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,12,shares,0.5183977459561192,0.00012190284307048567,0.48135844835773967,0.00012190284307048567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,13,shares,0.5184586973776545,6.0951421535242835e-05,0.4814193997792749,6.0951421535242835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,14,shares,0.5184891730884221,3.0475710767621417e-05,0.48144987549004253,3.0475710767621417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,0,shares,0.0,0.5369380896359721,0.0,0.46306191036402794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,payoffs,5.0,2.6846904481798606,4.0,6.684690448179861,5.0,2.6846904481798606,9.0,6.684690448179861,0.0,2.6846904481798606,4.0,6.684690448179861
0,2,1,shares,0.2883025121019272,0.24863557753404492,0.21442633282998305,0.2486355775340449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,2,shares,0.41262030086894963,0.12431778876702246,0.3387441215970055,0.12431778876702246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,3,shares,0.4747791952524609,0.06215889438351123,0.40090301598051675,0.06215889438351123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,4,shares,0.5058586424442165,0.031079447191755614,0.43198246317227235,0.031079447191755614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,5,shares,0.5213983660400944,0.015539723595877807,0.44752218676815014,0.015539723595877807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,6,shares,0.5291682278380333,0.007769861797938904,0.45529204856608907,0.007769861797938904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,7,shares,0.5330531587370028,0.003884930898969452,0.45917697946505853,0.003884930898969452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,8,shares,0.5349956241864875,0.001942465449484726,0.46111944491454326,0.001942465449484726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,9,shares,0.5359668569112298,0.000971232724742363,0.46209067763928563,0.000971232724742363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,10,shares,0.536452473273601,0.0004856163623711815,0.4625762940016568,0.0004856163623711815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,11,shares,0.5366952814547866,0.00024280818118559074,0.4628191021828424,0.00024280818118559074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,12,shares,0.5368166855453794,0.00012140409059279537,0.4629405062734352,0.00012140409059279537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,13,shares,0.5368773875906758,6.0702045296397685e-05,0.4630012083187316,6.0702045296397685e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,2,14,shares,0.536907738613324,3.0351022648198842e-05,0.4630315593413798,3.0351022648198842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,0,shares,0.0,0.5552067066439479,0.0,0.4447932933560523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,payoffs,5.0,2.776033533219739,4.0,6.776033533219739,5.0,2.776033533219739,9.0,6.776033533219739,0.0,2.776033533219739,4.0,6.776033533219739
0,3,1,shares,0.30825448710241876,0.24695221954152913,0.19784107381452312,0.24695221954152916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,2,shares,0.4317305968731833,0.12347610977076456,0.3213171835852877,0.12347610977076455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,3,shares,0.4934686517585656,0.06173805488538228,0.38305523847066997,0.06173805488538228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,4,shares,0.5243376792012567,0.03086902744269114,0.4139242659133611,0.03086902744269114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,5,shares,0.5397721929226023,0.01543451372134557,0.4293587796347067,0.01543451372134557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,6,shares,0.5474894497832751,0.007717256860672785,0.43707603649537946,0.007717256860672785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,7,shares,0.5513480782136114,0.0038586284303363926,0.44093466492571587,0.0038586284303363926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,8,shares,0.5532773924287796,0.0019293142151681963,0.44286397914088405,0.0019293142151681963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,9,shares,0.5542420495363637,0.0009646571075840982,0.44382863624846813,0.0009646571075840982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,10,shares,0.5547243780901557,0.0004823285537920491,0.4443109648022602,0.0004823285537920491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,11,shares,0.5549655423670518,0.00024116427689602454,0.4445521290791562,0.00024116427689602454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,12,shares,0.5550861245054998,0.00012058213844801227,0.4446727112176042,0.00012058213844801227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,13,shares,0.5551464155747238,6.0291069224006135e-05,0.4447330022868282,6.0291069224006135e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,3,14,shares,0.5551765611093358,3.0145534612003067e-05,0.4447631478214402,3.0145534612003067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,0,shares,0.0,0.5732788680344596,0.0,0.42672113196554035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0,payoffs,5.0,2.866394340172298,4.0,6.866394340172298,5.0,2.866394340172298,9.0,6.866394340172298,0.0,2.866394340172298,4.0,6.866394340172298
0,4,1,shares,0.32864866053487135,0.24463020749958825,0.1820909244659521,0.24463020749958825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,2,shares,0.45096376428466545,0.12231510374979412,0.30440602821574625,0.12231510374979412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,3,shares,0.5121213161595625,0.06115755187489706,0.3655635800906433,0.06115755187489706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,4,shares,0.542700092097011,0.03057877593744853,0.39614235602809184,0.03057877593744853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,5,shares,0.5579894800657352,0.015289387968724266,0.4114317439968161,0.015289387968724266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,6,shares,0.5656341740500974,0.007644693984362133,0.4190764379811782,0.007644693984362133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,7,shares,0.5694565210422785,0.0038223469921810664,0.4228987849733593,0.0038223469921810664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,8,shares,0.571367694538369,0.0019111734960905332,0.42480995846944986,0.0019111734960905332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,9,shares,0.5723232812864143,0.0009555867480452666,0.4257655452174951,0.0009555867480452666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,10,shares,0.572801074660437,0.0004777933740226333,0.42624333859151775,0.0004777933740226333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,11,shares,0.5730399713474482,0.00023889668701131665,0.4264822352785291,0.00023889668701131665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,12,shares,0.5731594196909539,0.00011944834350565832,0.4266016836220347,0.00011944834350565832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,13,shares,0.5732191438627067,5.972417175282916e-05,0.42666140779378753,5.972417175282916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,4,14,shares,0.5732490059485831,2.986208587641458e-05,0.42669126987966394,2.986208587641458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
