,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.35,0.0,0.35,0.0,0.07500000000000001,0.0,0.07500000000000001,0.0,0.07500000000000001,0.0,0.07500000000000001
0,0,0,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,1,shares,0.14875,0.20124999999999998,0.14875,0.20124999999999998,0.031875,0.04312500000000001,0.0056250000000000015,0.069375,0.0056250000000000015,0.069375,0.031875,0.04312500000000001
0,0,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,2,shares,0.22712524900398406,0.12287475099601591,0.22712524900398406,0.12287475099601591,0.048669696215139446,0.02633030378486056,0.01329494521912351,0.0617050547808765,0.01329494521912351,0.0617050547808765,0.048669696215139446,0.02633030378486056
0,0,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,3,shares,0.2705881583724399,0.0794118416275601,0.2705881583724399,0.0794118416275601,0.05798317679409427,0.01701682320590574,0.022321335166534156,0.05267866483346585,0.022321335166534156,0.05267866483346585,0.05798317679409427,0.01701682320590574
0,0,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,4,shares,0.2962662316006888,0.05373376839931113,0.2962662316006888,0.05373376839931113,0.06348562105729047,0.01151437894270953,0.031626852657979335,0.04337314734202067,0.031626852657979335,0.04337314734202067,0.06348562105729047,0.01151437894270953
0,0,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,5,shares,0.3124050046099714,0.03759499539002857,0.3124050046099714,0.03759499539002857,0.0669439295592796,0.00805607044072041,0.04028643416925102,0.034713565830748985,0.04028643416925102,0.034713565830748985,0.0669439295592796,0.00805607044072041
0,0,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,6,shares,0.32308290839658915,0.026917091603410825,0.32308290839658915,0.026917091603410825,0.06923205179926911,0.005767948200730893,0.04778371019585828,0.027216289804141723,0.04778371019585828,0.027216289804141723,0.06923205179926911,0.005767948200730893
0,0,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,7,shares,0.33042653679534467,0.019573463204655292,0.33042653679534467,0.019573463204655292,0.0708056864561453,0.004194313543854708,0.05396659825149,0.021033401748510004,0.05396659825149,0.021033401748510004,0.0708056864561453,0.004194313543854708
0,0,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,8,shares,0.3356185620863129,0.014381437913687036,0.3356185620863129,0.014381437913687036,0.07191826330420992,0.003081736695790081,0.05890401289052288,0.01609598710947712,0.05890401289052288,0.01609598710947712,0.07191826330420992,0.003081736695790081
0,0,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,9,shares,0.339360395144083,0.010639604855916945,0.339360395144083,0.010639604855916945,0.07272008467373207,0.0022799153262679185,0.06276407356781513,0.012235926432184865,0.06276407356781513,0.012235926432184865,0.07272008467373207,0.0022799153262679185
0,0,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,10,shares,0.342092578590748,0.007907421409251967,0.342092578590748,0.007907421409251967,0.07330555255516029,0.0016944474448397084,0.06573992802090832,0.009260071979091677,0.06573992802090832,0.009260071979091677,0.07330555255516029,0.0016944474448397084
0,0,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,11,shares,0.34410525650171087,0.0058947434982890776,0.34410525650171087,0.0058947434982890776,0.07373684067893806,0.0012631593210619462,0.06801299561814897,0.006987004381851025,0.06801299561814897,0.006987004381851025,0.07373684067893806,0.0012631593210619462
0,0,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,12,shares,0.34559674741450275,0.004403252585497199,0.34559674741450275,0.004403252585497199,0.07405644587453632,0.0009435541254636864,0.0697386425077891,0.005261357492210887,0.0697386425077891,0.005261357492210887,0.07405644587453632,0.0009435541254636864
0,0,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,13,shares,0.34670642765810006,0.0032935723418998676,0.34670642765810006,0.0032935723418998676,0.07429423449816432,0.0007057655018356865,0.07104338676563944,0.003956613234360555,0.07104338676563944,0.003956613234360555,0.07429423449816432,0.0007057655018356865
0,0,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,14,shares,0.347534242483678,0.0024657575163219677,0.347534242483678,0.0024657575163219677,0.07447162338935959,0.000528376610640422,0.07202722817772511,0.0029727718222748896,0.07202722817772511,0.0029727718222748896,0.07447162338935959,0.000528376610640422
0,0,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,0,shares,0.0,0.3540614184688204,0.0,0.34593858153117935,0.0,0.07587030395760441,0.0,0.13363463493365874,0.0,0.016365365066341286,0.0,0.07412969604239561
0,1,0,payoffs,5.0,2.231485437463831,4.0,6.2314854374638315,5.0,2.231485437463831,9.0,6.2314854374638315,0.0,2.231485437463831,4.0,6.2314854374638315
0,1,1,shares,0.15222223548704317,0.20183918298177722,0.1453178240900483,0.20062075744113106,0.032619050461509265,0.04325125349609515,0.00218697958619657,0.13144765534746217,0.00218697958619657,0.014178385480144717,0.03113953373358179,0.04299016230881382
0,1,1,payoffs,5.0,2.04365145791869,4.0,6.04365145791869,5.0,2.04365145791869,9.0,6.04365145791869,0.0,2.04365145791869,4.0,6.04365145791869
0,1,2,shares,0.23020854616032882,0.12385287230849158,0.22236542989745475,0.12357315163372459,0.049330402748641915,0.026539901208962498,0.00512507675278432,0.12850955818087442,0.00512507675278432,0.011240288313556966,0.04764973497802604,0.02647996106436957
0,1,2,payoffs,5.0,1.83592263418762,4.0,5.83592263418762,5.0,1.83592263418762,9.0,5.83592263418762,0.0,1.83592263418762,4.0,5.83592263418762
0,1,3,shares,0.2725228522529986,0.08153856621582178,0.2644888188144723,0.08144976271670709,0.05839775405421402,0.017472549903390394,0.008406536289223176,0.12522809864443557,0.008406536289223176,0.00795882877711811,0.05667617546024408,0.01745352058215153
0,1,3,payoffs,5.0,1.615365693598433,4.0,5.6153656935984335,5.0,1.615365693598433,9.0,5.6153656935984335,0.0,1.615365693598433,4.0,5.6153656935984335
0,1,4,shares,0.29690579425099073,0.057155624217829645,0.28881867890137314,0.057119902629806235,0.0636226701966409,0.012247633760963503,0.011416699385542859,0.12221793554811589,0.011416699385542859,0.004948665680798428,0.06188971690743712,0.012239979134958487
0,1,4,payoffs,5.0,1.397961795993479,4.0,5.397961795993479,5.0,1.397961795993479,9.0,5.397961795993479,0.0,1.397961795993479,4.0,5.397961795993479
0,1,5,shares,0.31182246554177206,0.04223895292704832,0.30371671053307525,0.04222187099810414,0.06681909975895119,0.009051204198653219,0.013691043357049239,0.11994359157660951,0.013691043357049239,0.0026743217092920477,0.06508215225708758,0.009047543785308037
0,1,5,payoffs,5.0,1.1982654213465787,4.0,5.198265421346578,5.0,1.1982654213465787,9.0,5.198265421346578,0.0,1.1982654213465787,4.0,5.198265421346578
0,1,6,shares,0.3214435097175571,0.0326179087512633,0.31332997455571404,0.03260860697546534,0.0688807520823337,0.006989551875270714,0.015115554118264927,0.11851908081539382,0.015115554118264927,0.0012498109480763595,0.0671421374047959,0.006987558637599721
0,1,6,payoffs,5.0,1.0267064010814833,4.0,5.0267064010814835,5.0,1.0267064010814833,9.0,5.0267064010814835,0.0,1.0267064010814833,4.0,5.0267064010814835
0,1,7,shares,0.3279364291898111,0.02612498927900929,0.31981919133384196,0.02611939019733743,0.07027209196924528,0.005598211988359138,0.015860010921876073,0.11777462401178268,0.015860010921876073,0.0005053541444652141,0.06853268385725188,0.00559701218514374
0,1,7,payoffs,5.0,0.886766167176823,4.0,4.886766167176823,5.0,0.886766167176823,9.0,4.886766167176823,0.0,0.886766167176823,4.0,4.886766167176823
0,1,8,shares,0.3324971280686484,0.02156429040017198,0.32437793553328514,0.021560645997894246,0.07124938458613898,0.004620919371465427,0.016187536958231885,0.11744709797542686,0.016187536958231885,0.00017782810810940288,0.06950955761427542,0.004620138428120199
0,1,8,payoffs,5.0,0.7754248825801624,4.0,4.775424882580163,5.0,0.7754248825801624,9.0,4.775424882580163,0.0,0.7754248825801624,4.0,4.775424882580163
0,1,9,shares,0.33581886705783076,0.018242551410989637,0.32769855185810276,0.018240029673076648,0.07196118579810663,0.003909118159497782,0.01631039878638931,0.11732423614726945,0.01631039878638931,5.496627995197804e-05,0.07022111825530776,0.003908577787087856
0,1,9,payoffs,5.0,0.6867487427872838,4.0,4.686748742787284,5.0,0.6867487427872838,9.0,4.686748742787284,0.0,0.6867487427872838,4.0,4.686748742787284
0,1,10,shares,0.33831827497486433,0.01574314349395609,0.33019726881739375,0.01574131271378566,0.07249677320889954,0.003373530748704878,0.016350285584830565,0.1172843493488282,0.016350285584830565,1.507948151072569e-05,0.07075655760372726,0.0033731384386683576
0,1,10,payoffs,5.0,0.6150480791201545,4.0,4.615048079120155,5.0,0.6150480791201545,9.0,4.615048079120155,0.0,0.6150480791201545,4.0,4.615048079120155
0,1,11,shares,0.3402533066297581,0.013808111839062314,0.3321318504463321,0.013806731084847333,0.07291142284923392,0.0029588811083704975,0.016361656901459062,0.1172729780321997,0.016361656901459062,3.7081648822294034e-06,0.07117111080992833,0.0029585852324672873
0,1,11,payoffs,5.0,0.5560245614314103,4.0,4.5560245614314105,5.0,0.5560245614314103,9.0,4.5560245614314105,0.0,0.5560245614314103,4.0,4.5560245614314105
0,1,12,shares,0.3417884969750948,0.01227292149372565,0.333666733781618,0.012271847749561452,0.07324039220894893,0.002629911748655498,0.016364540466444307,0.11727009446721445,0.016364540466444307,8.245998969859952e-07,0.0715000143817753,0.0026296816606203124
0,1,12,payoffs,5.0,0.5066676625744808,4.0,4.506667662574481,5.0,0.5066676625744808,9.0,4.506667662574481,0.0,0.5066676625744808,4.0,4.506667662574481
0,1,13,shares,0.34303208665433427,0.011029331814486152,0.33491010586983816,0.011028475661341271,0.0735068757116431,0.0023634282459613193,0.016365197959033725,0.11726943697462504,0.016365197959033725,1.6710730756831865e-07,0.0717664512578225,0.002363244784573131
0,1,13,payoffs,5.0,0.4648575986592789,4.0,4.464857598659279,5.0,0.4648575986592789,9.0,4.464857598659279,0.0,0.4648575986592789,4.0,4.464857598659279
0,1,14,shares,0.3440574876003792,0.010003930868441226,0.3359353476283301,0.010003233902849306,0.07372660448579559,0.0021436994718088353,0.016365333995300442,0.11726930093835831,0.016365333995300442,3.107104085023766e-08,0.07198614592035649,0.0021435501220391385
0,1,14,payoffs,5.0,0.4290526961313821,4.0,4.429052696131382,5.0,0.4290526961313821,9.0,4.429052696131382,0.0,0.4290526961313821,4.0,4.429052696131382
0,2,0,shares,0.0,0.35541941047492676,0.0,0.344580589525073,0.0,0.07155339627716457,0.0,0.15748105473113674,0.0,0.001594235143757135,0.0,0.06937131384794164
0,2,0,payoffs,5.0,2.1428352094792427,4.0,6.142835209479243,5.0,2.1428352094792427,9.0,6.142835209479243,0.0,2.1428352094792427,4.0,6.142835209479243
0,2,1,shares,0.15175442326465316,0.2036649872102736,0.14263979089929946,0.20194079862577352,0.030551354441105606,0.04100204183605897,0.0002510618319283191,0.15722999289920842,0.00025106183192831905,0.0013431733118288158,0.028716387406842216,0.04065492644109942
0,2,1,payoffs,5.0,1.9045874858946499,4.0,5.90458748589465,5.0,1.9045874858946499,9.0,5.90458748589465,0.0,1.9045874858946499,4.0,5.90458748589465
0,2,2,shares,0.22891040944219448,0.12650900103273227,0.21849493137926446,0.12608565814580852,0.04608447585037234,0.025468920426792233,0.0005780599496162052,0.15690299478152053,0.0005780599496162052,0.0010161751941409297,0.04398762124061119,0.02538369260733045
0,2,2,payoffs,5.0,1.6580540180598444,4.0,5.658054018059844,5.0,1.6580540180598444,9.0,5.658054018059844,0.0,1.6580540180598444,4.0,5.658054018059844
0,2,3,shares,0.27058352058500146,0.08483588988992531,0.25988960388306176,0.08469098564201122,0.05447414886153149,0.017079247415633082,0.0009236441026966818,0.15655741062844006,0.0009236441026966817,0.0006705910410604532,0.05232123870249882,0.017050075145442815
0,2,3,payoffs,5.0,1.4213108860699284,4.0,5.421310886069929,5.0,1.4213108860699284,9.0,5.421310886069929,0.0,1.4213108860699284,4.0,5.421310886069929
0,2,4,shares,0.29454151423576447,0.060877896239162316,0.28376582435495706,0.06081476517011593,0.05929739644783565,0.012255999829328922,0.0012145573569985954,0.15626649737413814,0.0012145573569985952,0.0003796777867585397,0.05712802362947735,0.012243290218464282
0,2,4,payoffs,5.0,1.213743703215869,4.0,5.213743703215869,5.0,1.213743703215869,9.0,5.213743703215869,0.0,1.213743703215869,4.0,5.213743703215869
0,2,5,shares,0.30924322232696466,0.04617618814796212,0.29843705658010783,0.04614353294496514,0.06225715923511611,0.00929623704204847,0.001410473632568376,0.15607058109856836,0.0014104736325683757,0.0001837615111887592,0.060081650984488054,0.009289662863453578
0,2,5,payoffs,5.0,1.041626633525524,4.0,5.041626633525524,5.0,1.041626633525524,9.0,5.041626633525524,0.0,1.041626633525524,4.0,5.041626633525524
0,2,6,shares,0.31883113029042864,0.036588280184498126,0.3080114084496186,0.03656918107545436,0.06418740659291233,0.007365989684252239,0.0015178241706034915,0.15596323056053324,0.0015178241706034913,7.64109731536436e-05,0.06200916921569745,0.007362144632244183
0,2,6,payoffs,5.0,0.9025445944739108,4.0,4.902544594473911,5.0,0.9025445944739108,9.0,4.902544594473911,0.0,0.9025445944739108,4.0,4.902544594473911
0,2,7,shares,0.32542417970309256,0.02999523077183423,0.3145975765055472,0.029983013019525738,0.06551472598908399,0.00603867028808058,0.001566680543008843,0.1559143741881279,0.0015666805430088427,2.755460074829221e-05,0.06333510325015027,0.006036210597791361
0,2,7,payoffs,5.0,0.7908385535658936,4.0,4.7908385535658935,5.0,0.7908385535658936,9.0,4.7908385535658935,0.0,0.7908385535658936,4.0,4.7908385535658935
0,2,8,shares,0.33016483157895554,0.025254578895971245,0.3193343672132972,0.02524622231177573,0.06646911883395547,0.005084277443209105,0.0015855237515186816,0.15589553097961806,0.0015855237515186814,8.711392238453497e-06,0.06428871876074022,0.005082595087201408
0,2,8,payoffs,5.0,0.700634880932643,4.0,4.700634880932643,5.0,0.700634880932643,9.0,4.700634880932643,0.0,0.700634880932643,4.0,4.700634880932643
0,2,9,shares,0.33370266351392425,0.021716746961002557,0.3228698582421473,0.021710731282925638,0.06718135874810804,0.004372037529056525,0.0015917944958653105,0.15588926023527142,0.0015917944958653103,2.440647891824723e-06,0.06500048740129824,0.00437082644664339
0,2,9,payoffs,5.0,0.6270058860534391,4.0,4.627005886053439,5.0,0.6270058860534391,9.0,4.627005886053439,0.0,0.6270058860534391,4.0,4.627005886053439
0,2,10,shares,0.33642571440221547,0.01899369607271134,0.3255914007342925,0.018989188790780473,0.06772956611537712,0.0038238301617874496,0.0015936231369219752,0.15588743159421475,0.001593623136921975,6.12006835159898e-07,0.06554839109672497,0.003822922751216652
0,2,10,payoffs,5.0,0.5661572246502751,4.0,4.566157224650275,5.0,0.5661572246502751,9.0,4.566157224650275,0.0,0.5661572246502751,4.0,4.566157224650275
0,2,11,shares,0.33857634036945866,0.01684307010546816,0.32774100611793,0.01683958340714294,0.06816253231683607,0.0033908639603284904,0.0015940965652236458,0.15588695816591308,0.0015940965652236456,1.3857853348923918e-07,0.0659811518332571,0.0033901620146845274
0,2,11,payoffs,5.0,0.5152531869905905,4.0,4.5152531869905905,5.0,0.5152531869905905,9.0,4.5152531869905905,0.0,0.5152531869905905,4.0,4.5152531869905905
0,2,12,shares,0.3403120175922308,0.015107392882696025,0.32947596480703395,0.015104624718039014,0.06851196061610737,0.0030414356610571867,0.0015942065855987485,0.15588684814553797,0.0015942065855987482,2.8558158386682373e-08,0.06633043547660139,0.003040878371340234
0,2,12,payoffs,5.0,0.47218084585311726,4.0,4.472180845853117,5.0,0.47218084585311726,9.0,4.472180845853117,0.0,0.47218084585311726,4.0,4.472180845853117
0,2,13,shares,0.3417386996572671,0.013680710817659675,0.3309021240910609,0.013678465434012037,0.06879918169675871,0.00275421458040585,0.0015942297504093887,0.1558868249807273,0.0015942297504093884,5.393347746412066e-09,0.06661755131044958,0.0027537625374920473
0,2,13,payoffs,5.0,0.43535321653751935,4.0,4.43535321653752,5.0,0.43535321653751935,9.0,4.43535321653752,0.0,0.43535321653751935,4.0,4.43535321653752
0,2,14,shares,0.3429298875581599,0.01248952291676688,0.3320929210101728,0.012487668514900165,0.0690389928533842,0.002514403423780349,0.0015942342046298482,0.15588682052650685,0.001594234204629848,9.391272869011237e-10,0.06685728375422631,0.0025140300937153185
0,2,14,payoffs,5.0,0.4035647378106758,4.0,4.403564737810676,5.0,0.4035647378106758,9.0,4.403564737810676,0.0,0.4035647378106758,4.0,4.403564737810676
0,3,0,shares,0.0,0.35515106614312314,0.0,0.34484893385687665,0.0,0.06623877284495633,0.0,0.16931019643174786,0.0,0.0001336954450012171,0.0,0.06431733527829463
0,3,0,payoffs,5.0,2.1076176721654036,4.0,6.107617672165404,5.0,2.1076176721654036,9.0,6.107617672165404,0.0,2.1076176721654036,4.0,6.107617672165404
0,3,1,shares,0.14965705057849546,0.20549401556462768,0.1411005516814597,0.20374838217541694,0.027912345823904124,0.038326427021052205,2.2636002055186016e-05,0.16928756042969267,2.2636002055186013e-05,0.0001110594429460311,0.026316484116535754,0.03800085116175887
0,3,1,payoffs,5.0,1.8621626695102695,4.0,5.862162669510269,5.0,1.8621626695102695,9.0,5.862162669510269,0.0,1.8621626695102695,4.0,5.862162669510269
0,3,2,shares,0.22615486298454868,0.12899620315857446,0.21630421497446362,0.12854471888241303,0.04217985534915677,0.02405891749579956,5.134118103820753e-05,0.16925885525070966,5.134118103820753e-05,8.235426396300958e-05,0.04034262353960144,0.023974711738693182
0,3,2,payoffs,5.0,1.6122593474635452,4.0,5.612259347463545,5.0,1.6122593474635452,9.0,5.612259347463545,0.0,1.6122593474635452,4.0,5.612259347463545
0,3,3,shares,0.26772756085741556,0.08742350528570755,0.2575864147917039,0.08726251906517271,0.04993352626124999,0.01630524658370634,8.069204616890376e-05,0.16922950438557896,8.069204616890376e-05,5.300339883231335e-05,0.04804211402946613,0.016275221248828495
0,3,3,payoffs,5.0,1.3780644122957921,4.0,5.378064412295792,5.0,1.3780644122957921,9.0,5.378064412295792,0.0,1.3780644122957921,4.0,5.378064412295792
0,3,4,shares,0.2918102993273368,0.06334076681578629,0.2815805404935048,0.06326839336337185,0.05442516712922573,0.011813605715730601,0.00010451295371588959,0.16920568347803197,0.00010451295371588959,2.9182491285327516e-05,0.052517227842962116,0.01180010743533251
0,3,4,payoffs,5.0,1.176737104376529,4.0,5.176737104376528,5.0,1.176737104376529,9.0,5.176737104376528,0.0,1.176737104376529,4.0,5.176737104376528
0,3,5,shares,0.3067115992493338,0.04843946689378931,0.29644780728173464,0.04840112657514199,0.05720438959178749,0.009034383253168845,0.00011996990709680487,0.16919022652465104,0.00011996990709680487,1.372553790441224e-05,0.055290102829106916,0.009027232449187714
0,3,5,payoffs,5.0,1.0117270149158335,4.0,5.011727014915834,5.0,1.0117270149158335,9.0,5.011727014915834,0.0,1.0117270149158335,4.0,5.011727014915834
0,3,6,shares,0.3165107625246445,0.038640303618478575,0.30623146442619004,0.03861746943068663,0.059032019049057284,0.007206753795899048,0.0001281437068381938,0.16918205272490966,0.00012814370683819382,5.5517381630233055e-06,0.057114840257667394,0.007202495020627238
0,3,6,payoffs,5.0,0.8788920058245586,4.0,4.878892005824559,5.0,0.8788920058245586,9.0,4.878892005824559,0.0,0.8788920058245586,4.0,4.878892005824559
