,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
0,0,0,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,1,shares,0.0,0.0,0.0,0.0,0.0625,0.1875,0.0625,0.1875,0.0625,0.1875,0.0625,0.1875
0,0,1,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,2,shares,0.0,0.0,0.0,0.0,0.109375,0.140625,0.109375,0.140625,0.109375,0.140625,0.109375,0.140625
0,0,2,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,3,shares,0.0,0.0,0.0,0.0,0.14453125,0.10546875,0.14453125,0.10546875,0.14453125,0.10546875,0.14453125,0.10546875
0,0,3,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,4,shares,0.0,0.0,0.0,0.0,0.1708984375,0.0791015625,0.1708984375,0.0791015625,0.1708984375,0.0791015625,0.1708984375,0.0791015625
0,0,4,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,5,shares,0.0,0.0,0.0,0.0,0.190673828125,0.059326171875,0.190673828125,0.059326171875,0.190673828125,0.059326171875,0.190673828125,0.059326171875
0,0,5,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,6,shares,0.0,0.0,0.0,0.0,0.20550537109375,0.04449462890625,0.20550537109375,0.04449462890625,0.20550537109375,0.04449462890625,0.20550537109375,0.04449462890625
0,0,6,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,7,shares,0.0,0.0,0.0,0.0,0.2166290283203125,0.0333709716796875,0.2166290283203125,0.0333709716796875,0.2166290283203125,0.0333709716796875,0.2166290283203125,0.0333709716796875
0,0,7,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,8,shares,0.0,0.0,0.0,0.0,0.22497177124023438,0.025028228759765625,0.22497177124023438,0.025028228759765625,0.22497177124023438,0.025028228759765625,0.22497177124023438,0.025028228759765625
0,0,8,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,9,shares,0.0,0.0,0.0,0.0,0.23122882843017578,0.01877117156982422,0.23122882843017578,0.01877117156982422,0.23122882843017578,0.01877117156982422,0.23122882843017578,0.01877117156982422
0,0,9,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,10,shares,0.0,0.0,0.0,0.0,0.23592162132263184,0.014078378677368164,0.23592162132263184,0.014078378677368164,0.23592162132263184,0.014078378677368164,0.23592162132263184,0.014078378677368164
0,0,10,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,11,shares,0.0,0.0,0.0,0.0,0.23944121599197388,0.010558784008026123,0.23944121599197388,0.010558784008026123,0.23944121599197388,0.010558784008026123,0.23944121599197388,0.010558784008026123
0,0,11,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,12,shares,0.0,0.0,0.0,0.0,0.2420809119939804,0.007919088006019592,0.2420809119939804,0.007919088006019592,0.2420809119939804,0.007919088006019592,0.2420809119939804,0.007919088006019592
0,0,12,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,13,shares,0.0,0.0,0.0,0.0,0.2440606839954853,0.005939316004514694,0.2440606839954853,0.005939316004514694,0.2440606839954853,0.005939316004514694,0.2440606839954853,0.005939316004514694
0,0,13,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,0,14,shares,0.0,0.0,0.0,0.0,0.24554551299661398,0.004454487003386021,0.24554551299661398,0.004454487003386021,0.24554551299661398,0.004454487003386021,0.24554551299661398,0.004454487003386021
0,0,14,payoffs,5.0,2.5,4.0,6.5,5.0,2.5,9.0,6.5,0.0,2.5,4.0,6.5
0,1,0,shares,0.0,0.0,0.0,0.0,0.0,0.24123568374111698,0.0,0.4634579059633392,0.0,0.03654209403666081,0.0,0.258764316258883
0,1,0,payoffs,5.0,1.3888888888888888,4.0,5.388888888888889,5.0,1.3888888888888888,9.0,5.388888888888889,0.0,1.3888888888888888,4.0,5.388888888888889
0,1,1,shares,0.0,0.0,0.0,0.0,0.05819465511004421,0.18304102863107277,0.016935722381746243,0.44652218358159296,0.016935722381746243,0.019606371654914568,0.06695897136892723,0.1918053448899558
0,1,1,payoffs,5.0,1.2048361571573867,4.0,5.204836157157386,5.0,1.2048361571573867,9.0,5.204836157157386,0.0,1.2048361571573867,4.0,5.204836157157386
0,1,2,shares,0.0,0.0,0.0,0.0,0.0980341521231363,0.14320153161798066,0.027345878004814514,0.43611202795852466,0.027345878004814514,0.009196216031846297,0.11070497267090149,0.14805934358798153
0,1,2,payoffs,5.0,1.0345108400424616,4.0,5.034510840042461,5.0,1.0345108400424616,9.0,5.034510840042461,0.0,1.0345108400424616,4.0,5.034510840042461
0,1,3,shares,0.0,0.0,0.0,0.0,0.12587495907973292,0.11536072466138404,0.03279082582935691,0.43066708013398225,0.03279082582935691,0.0037512682073038983,0.14046669991738514,0.11829761634149788
0,1,3,payoffs,5.0,0.8914544899449852,4.0,4.891454489944985,5.0,0.8914544899449852,9.0,4.891454489944985,0.0,0.8914544899449852,4.0,4.891454489944985
0,1,4,shares,0.0,0.0,0.0,0.0,0.14579497276478431,0.09544071097633264,0.03520903282775547,0.4282488731355837,0.03520903282775547,0.0013330612089053383,0.1614138849566028,0.09735043130228022
0,1,4,payoffs,5.0,0.7774578931845605,4.0,4.777457893184561,5.0,0.7774578931845605,9.0,4.777457893184561,0.0,0.7774578931845605,4.0,4.777457893184561
0,1,5,shares,0.0,0.0,0.0,0.0,0.1604307750734116,0.08080490866770536,0.0361262993066205,0.42733160665671865,0.0361262993066205,0.00041579473004030537,0.17664125714011894,0.08212305911876408
0,1,5,payoffs,5.0,0.6875240414326971,4.0,4.687524041432697,5.0,0.6875240414326971,9.0,4.687524041432697,0.0,0.6875240414326971,4.0,4.687524041432697
0,1,6,shares,0.0,0.0,0.0,0.0,0.17148495746455394,0.06975072627656301,0.03642711129117341,0.42703079467216576,0.03642711129117341,0.00011498274548739758,0.18805902939032113,0.0707052868685619
0,1,6,payoffs,5.0,0.6154465171152689,4.0,4.615446517115269,5.0,0.6154465171152689,9.0,4.615446517115269,0.0,0.6154465171152689,4.0,4.615446517115269
0,1,7,shares,0.0,0.0,0.0,0.0,0.1800563959219348,0.06117928781918217,0.03651361766588091,0.4269442882974583,0.03651361766588091,2.847637077989907e-05,0.1968666788274536,0.06189763743142943
0,1,7,payoffs,5.0,0.5563839532296819,4.0,4.556383953229682,5.0,0.5563839532296819,9.0,4.556383953229682,0.0,0.5563839532296819,4.0,4.556383953229682
0,1,8,shares,0.0,0.0,0.0,0.0,0.18686106343954492,0.05437462030157202,0.03653572080324967,0.4269221851600895,0.03653572080324967,6.373233411142043e-06,0.20383208138982561,0.054932234869057406
0,1,8,payoffs,5.0,0.5070626832862053,4.0,4.507062683286206,5.0,0.5070626832862053,9.0,4.507062683286206,0.0,0.5070626832862053,4.0,4.507062683286206
0,1,9,shares,0.0,0.0,0.0,0.0,0.1923746853640815,0.04886099837703544,0.03654079483354605,0.42691711112979314,0.03654079483354605,1.2992031147549607e-06,0.20945936812132457,0.049304948137558445
0,1,9,payoffs,5.0,0.46528045392086487,4.0,4.465280453920865,5.0,0.46528045392086487,9.0,4.465280453920865,0.0,0.46528045392086487,4.0,4.465280453920865
0,1,10,shares,0.0,0.0,0.0,0.0,0.19692137796931183,0.04431430577180511,0.0365418511438956,0.4269160548194436,0.0365418511438956,2.428927652103019e-07,0.2140890583399447,0.0446752579189383
0,1,10,payoffs,5.0,0.42948289581418525,4.0,4.429482895814185,5.0,0.42948289581418525,9.0,4.429482895814185,0.0,0.42948289581418525,4.0,4.429482895814185
0,1,11,shares,0.0,0.0,0.0,0.0,0.20072780437954257,0.040507879361574364,0.03654205213952062,0.4269158538238186,0.03654205213952062,4.189714018332464e-08,0.21795774605885543,0.04080657020002758
0,1,11,payoffs,5.0,0.39851930954844267,4.0,4.398519309548442,5.0,0.39851930954844267,9.0,4.398519309548442,0.0,0.39851930954844267,4.0,4.398519309548442
0,1,12,shares,0.0,0.0,0.0,0.0,0.2039564354630714,0.03727924827804554,0.03654208733331324,0.426915818630026,0.03654208733331324,6.703347565145033e-09,0.2212341662626982,0.037530149996184786
0,1,12,payoffs,5.0,0.3715106718508234,4.0,4.371510671850824,5.0,0.3715106718508234,9.0,4.371510671850824,0.0,0.3715106718508234,4.0,4.371510671850824
0,1,13,shares,0.0,0.0,0.0,0.0,0.20672636267977254,0.03450932106134441,0.03654209303716263,0.4269158129261766,0.03654209303716263,9.99498169736418e-10,0.22404150400946,0.03472281224942299
0,1,13,payoffs,5.0,0.34777249662182885,4.0,4.347772496621829,5.0,0.34777249662182885,9.0,4.347772496621829,0.0,0.34777249662182885,4.0,4.347772496621829
0,1,14,shares,0.0,0.0,0.0,0.0,0.20912664115869856,0.0321090425824184,0.036542093897191534,0.4269158120661477,0.036542093897191534,1.3946926902648234e-10,0.22647157289762998,0.032292743361253005
0,1,14,payoffs,5.0,0.3267646308908646,4.0,4.326764630890864,5.0,0.3267646308908646,9.0,4.326764630890864,0.0,0.3267646308908646,4.0,4.326764630890864
0,2,0,shares,0.0,0.0,0.0,0.0,0.0,0.19976010370323014,0.0,0.5384756972904117,0.0,0.0013814942540713243,0.0,0.2603827047522867
0,2,0,payoffs,5.0,1.0057079897865076,4.0,5.005707989786508,5.0,1.0057079897865076,9.0,5.005707989786508,0.0,1.0057079897865076,4.0,5.005707989786508
0,2,1,shares,0.0,0.0,0.0,0.0,0.03990409903152527,0.15985600467170485,0.0007439010817637536,0.537731796208648,0.0007439010817637537,0.0006375931723075707,0.06779915293411652,0.19258355181817016
0,2,1,payoffs,5.0,0.9008306359514513,4.0,4.9008306359514515,5.0,0.9008306359514513,9.0,4.9008306359514515,0.0,0.9008306359514513,4.0,4.9008306359514515
0,2,2,shares,0.0,0.0,0.0,0.0,0.06859031996369079,0.13116978373953933,0.0011287806043421389,0.5373469166860696,0.001128780604342139,0.0002527136497291854,0.10943369713443907,0.15094900761784763
0,2,2,payoffs,5.0,0.8016319623377876,4.0,4.801631962337788,5.0,0.8016319623377876,9.0,4.801631962337788,0.0,0.8016319623377876,4.0,4.801631962337788
0,2,3,shares,0.0,0.0,0.0,0.0,0.08957985943352278,0.11018024426970732,0.0012944410273517466,0.53718125626306,0.0012944410273517469,8.705322671957765e-05,0.1372305628602913,0.12315214189199537
0,2,3,payoffs,5.0,0.7154632620932464,4.0,4.715463262093246,5.0,0.7154632620932464,9.0,4.715463262093246,0.0,0.7154632620932464,4.0,4.715463262093246
0,2,4,shares,0.0,0.0,0.0,0.0,0.10533339598732673,0.09442670771590338,0.0013551253246212177,0.5371205719657905,0.001355125324621218,2.6368929450106637e-05,0.15691189735449926,0.10347080739778743
0,2,4,payoffs,5.0,0.6424990752137976,4.0,4.642499075213797,5.0,0.6424990752137976,9.0,4.642499075213797,0.0,0.6424990752137976,4.0,4.642499075213797
0,2,5,shares,0.0,0.0,0.0,0.0,0.11746382300731681,0.0822962806959133,0.0013743939475631133,0.5371013033428487,0.0013743939475631135,7.100306508211051e-06,0.17147728574159285,0.08890541901069382
0,2,5,payoffs,5.0,0.5809840958957748,4.0,4.580984095895775,5.0,0.5809840958957748,9.0,4.580984095895775,0.0,0.5809840958957748,4.0,4.580984095895775
0,2,6,shares,0.0,0.0,0.0,0.0,0.1270255640926009,0.0727345396106292,0.0013797780072590362,0.5370959192831527,0.0013797780072590364,1.7162468122880985e-06,0.18263648492852688,0.07774621982375979
0,2,6,payoffs,5.0,0.5289306382380756,4.0,4.528930638238076,5.0,0.5289306382380756,9.0,4.528930638238076,0.0,0.5289306382380756,4.0,4.528930638238076
0,2,7,shares,0.0,0.0,0.0,0.0,0.13471968783342098,0.06504041586980915,0.0013811186386199306,0.5370945786517918,0.0013811186386199308,3.7561545139368767e-07,0.19142744569918596,0.0689552590531007
0,2,7,payoffs,5.0,0.48459022266299057,4.0,4.484590222662991,5.0,0.48459022266299057,9.0,4.484590222662991,0.0,0.48459022266299057,4.0,4.484590222662991
0,2,8,shares,0.0,0.0,0.0,0.0,0.14102324135140504,0.05873686235182509,0.001381419255278585,0.5370942780351331,0.0013814192552785852,7.499879273932867e-08,0.1985126701744825,0.061870034577804156
0,2,8,payoffs,5.0,0.44653204896503235,4.0,4.446532048965032,5.0,0.44653204896503235,9.0,4.446532048965032,0.0,0.44653204896503235,4.0,4.446532048965032
0,2,9,shares,0.0,0.0,0.0,0.0,0.14626881295268818,0.05349129075054195,0.0013814805010530793,0.5370942167893586,0.0013814805010530795,1.3753018245105927e-08,0.20433279166409618,0.05604991308819045
0,2,9,payoffs,5.0,0.4136125369835044,4.0,4.413612536983504,5.0,0.4136125369835044,9.0,4.413612536983504,0.0,0.4136125369835044,4.0,4.413612536983504
0,2,10,shares,0.0,0.0,0.0,0.0,0.1506937455097751,0.04906635819345503,0.001381491924285043,0.5370942053661267,0.0013814919242850431,2.329786281465301e-09,0.20919115944006023,0.05119154531222639
0,2,10,payoffs,5.0,0.38492349566974,4.0,4.38492349566974,5.0,0.38492349566974,9.0,4.38492349566974,0.0,0.38492349566974,4.0,4.38492349566974
0,2,11,shares,0.0,0.0,0.0,0.0,0.15447110415353887,0.045288999549691254,0.0013814938875871007,0.5370942034028247,0.001381493887587101,3.6648422358489897e-10,0.21330281807489737,0.04707988667738923
0,2,11,payoffs,5.0,0.3597430940425375,4.0,4.359743094042537,5.0,0.3597430940425375,9.0,4.359743094042537,0.0,0.3597430940425375,4.0,4.359743094042537
0,2,12,shares,0.0,0.0,0.0,0.0,0.15772958509199025,0.04203051861123988,0.0013814942002925718,0.5370942030901192,0.001381494200292572,5.3778752439381795e-11,0.2168240979795992,0.043558606772687386
0,2,12,payoffs,5.0,0.3374951338779938,4.0,4.337495133877994,5.0,0.3374951338779938,9.0,4.337495133877994,0.0,0.3374951338779938,4.0,4.337495133877994
0,2,13,shares,0.0,0.0,0.0,0.0,0.16056660418949262,0.03919349951373751,0.0013814942466793224,0.5370942030437325,0.0013814942466793226,7.392001965589647e-12,0.21987115598974927,0.04051154876253733
0,2,13,payoffs,5.0,0.31771682145189134,4.0,4.317716821451891,5.0,0.31771682145189134,9.0,4.317716821451891,0.0,0.31771682145189134,4.0,4.317716821451891
0,2,14,shares,0.0,0.0,0.0,0.0,0.1630570910064391,0.036703012696791035,0.001381494253116103,0.5370942030372957,0.0013814942531161032,9.552214473547484e-13,0.2225319659365958,0.0378507388156908
0,2,14,payoffs,5.0,0.3000338055957804,4.0,4.30003380559578,5.0,0.3000338055957804,9.0,4.30003380559578,0.0,0.3000338055957804,4.0,4.30003380559578
0,3,0,shares,0.0,0.0,0.0,0.0,0.0,0.15250887697233173,0.0,0.5842494451049908,0.0,3.5717390052476575e-05,0.0,0.2632059605326247
0,3,0,payoffs,5.0,0.7627229718119213,4.0,4.762722971811922,5.0,0.7627229718119213,9.0,4.762722971811922,0.0,0.7627229718119213,4.0,4.762722971811922
0,3,1,shares,0.0,0.0,0.0,0.0,0.023258957555361823,0.1292499194169699,2.0867865318757964e-05,0.584228577239672,2.0867865318757964e-05,1.484952473371861e-05,0.0692773776599016,0.19392858287272308
0,3,1,payoffs,5.0,0.712263858756697,4.0,4.712263858756697,5.0,0.712263858756697,9.0,4.712263858756697,0.0,0.712263858756697,4.0,4.712263858756697
0,3,2,shares,0.0,0.0,0.0,0.0,0.04166885171199429,0.11084002526033743,3.0428485830661556e-05,0.5842190166191601,3.042848583066156e-05,5.288904221815015e-06,0.11072259079710858,0.1524833697355161
0,3,2,payoffs,5.0,0.6539178508575493,4.0,4.65391785085755,5.0,0.6539178508575493,9.0,4.65391785085755,0.0,0.6539178508575493,4.0,4.65391785085755
0,3,3,shares,0.0,0.0,0.0,0.0,0.05616421426466918,0.09634466270766254,3.40741548845316e-05,0.5842153709501062,3.4074154884531605e-05,1.6432351679449715e-06,0.13815606508021228,0.1250498954524124
0,3,3,payoffs,5.0,0.597969972441811,4.0,4.5979699724418115,5.0,0.597969972441811,9.0,4.5979699724418115,0.0,0.597969972441811,4.0,4.5979699724418115
0,3,4,shares,0.0,0.0,0.0,0.0,0.06768626080780664,0.08482261616452508,3.526580018377228e-05,0.584214179304807,3.526580018377229e-05,4.515898687042873e-07,0.15756675490823252,0.10563920562439215
0,3,4,payoffs,5.0,0.5474741581505043,4.0,4.5474741581505045,5.0,0.5474741581505043,9.0,4.5474741581505045,0.0,0.5474741581505043,4.0,4.5474741581505045
0,3,5,shares,0.0,0.0,0.0,0.0,0.0769738494366726,0.07553502753565913,3.560636198039526e-05,0.5842138387430104,3.5606361980395275e-05,1.1102807208130813e-07,0.17197230670510716,0.09123365382751751
0,3,5,payoffs,5.0,0.5029086921068033,4.0,4.502908692106804,5.0,0.5029086921068033,9.0,4.502908692106804,0.0,0.5029086921068033,4.0,4.502908692106804
0,3,6,shares,0.0,0.0,0.0,0.0,0.08457128265053444,0.06793759432179729,3.569273433244405e-05,0.5842137523706583,3.5692734332444065e-05,2.465572003251566e-08,0.18305589139220924,0.08015006914041543
0,3,6,payoffs,5.0,0.4638637535124155,4.0,4.463863753512416,5.0,0.4638637535124155,9.0,4.463863753512416,0.0,0.4638637535124155,4.0,4.463863753512416
0,3,7,shares,0.0,0.0,0.0,0.0,0.09087403786449884,0.06163483910783289,3.571240411584361e-05,0.584213732700875,3.5712404115843626e-05,4.985936632955632e-09,0.19182828105039051,0.07137767948223414
0,3,7,payoffs,5.0,0.4296750401589869,4.0,4.429675040158987,5.0,0.4296750401589869,9.0,4.429675040158987,0.0,0.4296750401589869,4.0,4.429675040158987
0,3,8,shares,0.0,0.0,0.0,0.0,0.09617062782980253,0.056338249142529204,3.571646539026832e-05,0.5842137286396005,3.571646539026834e-05,9.246622082438829e-10,0.1989317202840788,0.06427424024854586
0,3,8,payoffs,5.0,0.39966057272027616,4.0,4.399660572720276,5.0,0.39966057272027616,9.0,4.399660572720276,0.0,0.39966057272027616,4.0,4.399660572720276
0,3,9,shares,0.0,0.0,0.0,0.0,0.10067386313956449,0.05183501383276724,3.5717231820832174e-05,0.5842137278731699,3.571723182083219e-05,1.582316443937658e-10,0.20479299196839673,0.05841296856422793
0,3,9,payoffs,5.0,0.37320282178713,4.0,4.37320282178713,5.0,0.37320282178713,9.0,4.37320282178713,0.0,0.37320282178713,4.0,4.37320282178713
0,3,10,shares,0.0,0.0,0.0,0.0,0.10454285781370672,0.047966019158625015,3.571736493270494e-05,0.5842137277400581,3.5717364932704956e-05,2.511977162865829e-11,0.20970625766072792,0.05349970287189674
0,3,10,payoffs,5.0,0.34976999236331513,4.0,4.349769992363315,5.0,0.34976999236331513,9.0,4.349769992363315,0.0,0.34976999236331513,4.0,4.349769992363315
0,3,11,shares,0.0,0.0,0.0,0.0,0.10789827264291167,0.044610604329420066,3.5717386335293906e-05,0.5842137277186555,3.571738633529392e-05,3.717182667402463e-12,0.213880537943204,0.04932542258942066
0,3,11,payoffs,5.0,0.3289141080404817,4.0,4.328914108040482,5.0,0.3289141080404817,9.0,4.328914108040482,0.0,0.3289141080404817,4.0,4.328914108040482
0,3,12,shares,0.0,0.0,0.0,0.0,0.11083288406909876,0.04167599290323298,3.571738953757943e-05,0.5842137277154532,3.571738953757944e-05,5.148971428971783e-13,0.21746823711580363,0.045737723416821016
0,3,12,payoffs,5.0,0.3102612413610113,4.0,4.310261241361011,5.0,0.3102612413610113,9.0,4.310261241361011,0.0,0.3102612413610113,4.0,4.310261241361011
